Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
54.438,0.279,0.105,46.014,0.236,0.155,1.183,6.129,195.000,70.383,-4.116,96.415,4.991,-37.435,171.965,0.882,-246.647,1.265,0.270,2.390,3.348,0.025,0.000,294.080,1.508,406.153,2.083,0.295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,0.996,7.380,232.963,0.340,-5.717
0.005,2.660,-2.439,187.981,-0.302,-8.481
0.010,3.076,-5.517,202.618,-0.560,-10.837
0.015,2.403,-5.821,200.324,-0.467,-11.444
0.020,0.992,-4.027,202.053,-0.182,-11.145
0.025,1.072,-2.352,199.113,0.036,-10.667
0.030,0.569,-2.078,189.322,0.056,-10.659
0.035,1.741,-2.867,216.633,-0.086,-10.654
0.040,1.810,-2.774,216.115,-0.086,-10.642
0.045,1.863,-2.668,215.327,-0.086,-10.627
0.050,1.893,-2.560,214.335,-0.084,-10.613
0.055,1.899,-2.457,213.185,-0.081,-10.602
0.060,1.893,-2.365,211.905,-0.078,-10.593
0.065,1.890,-2.289,210.530,-0.073,-10.582
0.070,1.890,-2.233,209.081,-0.068,-10.570
0.075,1.885,-2.201,207.600,-0.061,-10.562
0.080,1.863,-2.192,206.138,-0.055,-10.556
0.085,1.832,-2.198,204.738,-0.049,-10.554
0.090,1.798,-2.209,203.415,-0.042,-10.554
0.095,1.769,-2.219,202.185,-0.034,-10.555
0.100,1.740,-2.222,201.072,-0.027,-10.559
0.105,1.713,-2.219,200.075,-0.022,-10.561
0.110,1.683,-2.212,199.220,-0.016,-10.562
0.115,1.648,-2.200,198.511,-0.010,-10.562
0.120,1.614,-2.187,197.947,-0.005,-10.562
0.125,1.579,-2.177,197.524,-0.001,-10.562
0.130,1.544,-2.176,197.223,0.002,-10.562
0.135,1.508,-2.178,197.024,0.006,-10.560
0.140,1.472,-2.183,196.907,0.009,-10.554
0.145,1.428,-2.183,196.862,0.012,-10.543
0.150,1.376,-2.181,196.884,0.015,-10.532
0.155,1.320,-2.170,196.961,0.019,-10.521
0.160,1.266,-2.147,197.087,0.021,-10.506
0.165,1.224,-2.111,197.254,0.024,-10.488
0.170,1.195,-2.068,197.451,0.027,-10.468
0.175,1.170,-2.021,197.695,0.030,-10.445
0.180,1.139,-1.976,198.002,0.034,-10.420
0.185,1.098,-1.933,198.370,0.040,-10.398
0.190,1.043,-1.893,198.793,0.046,-10.380
0.195,0.977,-1.860,199.249,0.054,-10.368
0.200,0.908,-1.841,199.717,0.063,-10.358
0.205,0.836,-1.839,200.165,0.073,-10.352
0.210,0.756,-1.853,200.590,0.084,-10.347
0.215,0.671,-1.886,200.979,0.096,-10.344
0.220,0.584,-1.930,201.304,0.107,-10.347
0.225,0.510,-1.978,201.570,0.117,-10.352
0.230,0.464,-2.020,201.766,0.126,-10.355
0.235,0.454,-2.050,201.881,0.133,-10.351
0.240,0.476,-2.066,201.927,0.138,-10.346
0.245,0.523,-2.070,201.926,0.142,-10.339
0.250,0.582,-2.067,201.897,0.144,-10.328
0.255,0.639,-2.057,201.853,0.146,-10.317
0.260,0.689,-2.039,201.811,0.146,-10.308
0.265,0.733,-2.016,201.767,0.146,-10.297
0.270,0.784,-1.995,201.723,0.145,-10.284
0.275,0.846,-1.979,201.696,0.144,-10.272
0.280,0.911,-1.972,201.696,0.143,-10.260
0.285,0.967,-1.967,201.715,0.141,-10.249
0.290,1.010,-1.959,201.747,0.138,-10.242
0.295,1.057,-1.948,201.782,0.135,-10.237
0.300,1.124,-1.937,201.806,0.132,-10.231
0.305,1.211,-1.933,201.817,0.130,-10.224
0.310,1.291,-1.935,201.817,0.129,-10.218
0.315,1.332,-1.943,201.814,0.129,-10.213
0.320,1.319,-1.955,201.803,0.130,-10.210
0.325,1.263,-1.968,201.785,0.133,-10.212
0.330,1.195,-1.979,201.749,0.137,-10.213
0.335,1.133,-1.985,201.680,0.141,-10.211
0.340,1.083,-1.987,201.569,0.146,-10.206
0.345,1.029,-1.986,201.423,0.150,-10.199
0.350,0.964,-1.983,201.253,0.155,-10.193
0.355,0.900,-1.979,201.076,0.158,-10.189
0.360,0.859,-1.974,200.893,0.161,-10.187
0.365,0.852,-1.970,200.708,0.163,-10.184
0.370,0.870,-1.968,200.524,0.164,-10.183
0.375,0.886,-1.973,200.352,0.165,-10.183
0.380,0.875,-1.986,200.212,0.166,-10.187
0.385,0.840,-2.004,200.108,0.166,-10.194
0.390,0.801,-2.029,200.034,0.167,-10.205
0.395,0.778,-2.057,199.983,0.167,-10.216
0.400,0.773,-2.088,199.938,0.167,-10.225
0.405,0.775,-2.120,199.900,0.167,-10.233
0.410,0.770,-2.158,199.878,0.167,-10.241
0.415,0.765,-2.200,199.878,0.167,-10.250
0.420,0.777,-2.248,199.899,0.166,-10.261
0.425,0.813,-2.296,199.926,0.166,-10.272
0.430,0.864,-2.343,199.967,0.166,-10.283
0.435,0.902,-2.389,200.003,0.166,-10.292
0.440,0.906,-2.430,200.054,0.168,-10.300
0.445,0.879,-2.466,200.124,0.170,-10.307
0.450,0.841,-2.495,200.214,0.173,-10.315
0.455,0.811,-2.520,200.329,0.176,-10.325
0.460,0.791,-2.538,200.461,0.182,-10.334
0.465,0.766,-2.551,200.604,0.187,-10.344
0.470,0.729,-2.557,200.730,0.193,-10.353
0.475,0.688,-2.565,200.861,0.198,-10.363
0.480,0.665,-2.580,200.992,0.204,-10.379
0.485,0.675,-2.607,201.126,0.210,-10.401
0.490,0.704,-2.647,201.239,0.215,-10.428
0.495,0.733,-2.698,201.302,0.220,-10.458
0.500,0.743,-2.760,201.289,0.225,-10.488
0.505,0.737,-2.840,201.210,0.229,-10.515
0.510,0.727,-2.945,201.116,0.233,-10.545
0.515,0.728,-3.080,201.016,0.237,-10.584
0.520,0.736,-3.244,200.943,0.242,-10.632
0.525,0.731,-3.433,200.885,0.247,-10.680
0.530,0.693,-3.635,200.821,0.251,-10.726
0.535,0.631,-3.841,200.753,0.254,-10.767
0.540,0.566,-4.039,200.699,0.257,-10.805
0.545,0.525,-4.216,200.669,0.260,-10.844
0.550,0.509,-4.357,200.660,0.261,-10.883
0.555,0.507,-4.453,200.661,0.261,-10.918
0.560,0.498,-4.507,200.642,0.260,-10.944
0.565,0.482,-4.535,200.592,0.258,-10.963
0.570,0.481,-4.553,200.528,0.254,-10.983
0.575,0.519,-4.584,200.450,0.250,-11.008
0.580,0.601,-4.650,200.371,0.244,-11.038
0.585,0.710,-4.771,200.287,0.238,-11.075
0.590,0.813,-4.967,200.166,0.231,-11.121
0.595,0.894,-5.240,199.963,0.223,-11.191
0.600,0.976,-5.582,199.690,0.212,-11.280
0.605,1.104,-5.980,199.365,0.199,-11.380
0.610,1.301,-6.415,199.002,0.187,-11.488
0.615,1.530,-6.868,198.629,0.173,-11.604
0.620,1.734,-7.314,198.293,0.158,-11.728
0.625,1.874,-7.733,197.984,0.141,-11.859
0.630,1.971,-8.109,197.741,0.123,-11.988
0.635,2.048,-8.447,197.611,0.108,-12.100
0.640,2.103,-8.767,197.591,0.094,-12.193
0.645,2.089,-9.098,197.681,0.082,-12.285
0.650,1.978,-9.457,197.906,0.069,-12.377
0.655,1.787,-9.853,198.241,0.058,-12.463
0.660,1.571,-10.280,198.626,0.048,-12.537
0.665,1.384,-10.724,199.033,0.037,-12.596
0.670,1.260,-11.174,199.440,0.025,-12.643
0.675,1.216,-11.615,199.826,0.011,-12.677
0.680,1.265,-12.024,200.185,-0.005,-12.708
0.685,1.407,-12.385,200.504,-0.022,-12.734
0.690,1.620,-12.706,200.753,-0.041,-12.751
0.695,1.876,-13.005,200.923,-0.059,-12.767
0.700,2.165,-13.297,201.016,-0.078,-12.796
0.705,2.494,-13.585,201.054,-0.096,-12.837
0.710,2.854,-13.868,201.022,-0.113,-12.877
0.715,3.192,-14.141,200.916,-0.125,-12.919
0.720,3.409,-14.402,200.772,-0.133,-12.969
0.725,3.445,-14.652,200.622,-0.138,-13.021
0.730,3.326,-14.887,200.485,-0.141,-13.072
0.735,3.144,-15.101,200.399,-0.142,-13.114
0.740,2.961,-15.298,200.366,-0.140,-13.135
0.745,2.777,-15.501,200.425,-0.136,-13.130
0.750,2.554,-15.714,200.619,-0.134,-13.109
0.755,2.302,-15.926,200.952,-0.134,-13.070
0.760,2.117,-16.120,201.415,-0.137,-13.005
0.765,2.103,-16.275,201.990,-0.141,-12.913
0.770,2.284,-16.389,202.673,-0.145,-12.798
0.775,2.586,-16.456,203.418,-0.148,-12.658
0.780,2.915,-16.448,204.150,-0.149,-12.502
0.785,3.224,-16.333,204.758,-0.147,-12.338
0.790,3.556,-16.112,205.175,-0.140,-12.165
0.795,3.937,-15.821,205.413,-0.121,-11.978
0.800,4.291,-15.470,205.439,-0.090,-11.788
0.805,4.475,-15.032,205.216,-0.048,-11.610
0.810,4.439,-14.454,204.713,-0.002,-11.441
0.815,4.286,-13.738,203.940,0.053,-11.269
0.820,4.156,-12.948,203.002,0.118,-11.088
0.825,4.074,-12.152,202.034,0.194,-10.897
0.830,3.923,-11.368,201.121,0.274,-10.702
0.835,3.624,-10.562,200.339,0.353,-10.502
0.840,3.274,-9.724,199.792,0.436,-10.272
0.845,3.022,-8.871,199.607,0.530,-9.996
0.850,2.880,-8.010,199.913,0.632,-9.701
0.855,2.727,-7.128,200.805,0.729,-9.411
0.860,2.497,-6.208,202.326,0.824,-9.104
0.865,2.244,-5.266,204.558,0.925,-8.776
0.870,2.045,-4.328,207.572,1.034,-8.465
0.875,1.867,-3.443,211.310,1.136,-8.203
0.880,1.622,-2.642,215.622,1.223,-7.986
0.885,1.350,-1.901,220.319,1.297,-7.788
0.890,1.233,-1.117,225.227,1.370,-7.586
