Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
51.519,0.264,0.125,42.600,0.218,0.150,1.209,5.800,195.000,69.223,-5.412,94.826,6.465,-59.730,168.857,0.866,-237.870,1.220,0.225,2.302,3.296,0.030,-0.005,279.959,1.436,404.929,2.077,0.260,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,0.112,-5.157,201.293,-1.125,-10.615
0.005,-0.046,-5.432,200.954,-1.028,-10.758
0.010,-0.478,-4.434,198.798,-0.901,-10.621
0.015,-0.751,-3.902,194.948,-1.094,-10.297
0.020,-0.366,-3.162,201.211,-1.267,-10.130
0.025,1.608,-2.538,201.588,-1.546,-9.825
0.030,0.737,-2.507,200.085,-1.484,-9.834
0.035,0.793,-2.678,201.745,-1.559,-9.760
0.040,0.272,-3.434,200.475,-1.463,-9.945
0.045,0.507,-4.256,201.033,-1.460,-10.123
0.050,0.543,-4.315,201.010,-1.461,-10.139
0.055,0.572,-4.383,200.974,-1.463,-10.160
0.060,0.590,-4.465,200.907,-1.464,-10.182
0.065,0.587,-4.558,200.809,-1.466,-10.206
0.070,0.572,-4.662,200.707,-1.468,-10.234
0.075,0.563,-4.778,200.595,-1.470,-10.262
0.080,0.570,-4.910,200.472,-1.472,-10.289
0.085,0.587,-5.049,200.371,-1.474,-10.317
0.090,0.592,-5.191,200.294,-1.476,-10.348
0.095,0.573,-5.330,200.220,-1.476,-10.379
0.100,0.529,-5.463,200.163,-1.476,-10.412
0.105,0.475,-5.594,200.109,-1.475,-10.445
0.110,0.428,-5.730,200.046,-1.472,-10.475
0.115,0.393,-5.874,199.995,-1.468,-10.507
0.120,0.368,-6.024,199.977,-1.463,-10.542
0.125,0.345,-6.182,199.977,-1.458,-10.582
0.130,0.320,-6.345,199.974,-1.452,-10.625
0.135,0.304,-6.513,199.965,-1.448,-10.669
0.140,0.315,-6.693,199.931,-1.444,-10.715
0.145,0.356,-6.888,199.853,-1.441,-10.769
0.150,0.416,-7.097,199.754,-1.439,-10.830
0.155,0.473,-7.312,199.623,-1.440,-10.887
0.160,0.505,-7.526,199.461,-1.442,-10.940
0.165,0.508,-7.735,199.286,-1.447,-10.991
0.170,0.506,-7.939,199.138,-1.453,-11.039
0.175,0.523,-8.137,199.035,-1.461,-11.083
0.180,0.566,-8.332,198.985,-1.471,-11.122
0.185,0.629,-8.523,199.021,-1.482,-11.153
0.190,0.698,-8.722,199.134,-1.492,-11.174
0.195,0.755,-8.945,199.325,-1.500,-11.195
0.200,0.802,-9.195,199.588,-1.506,-11.225
0.205,0.847,-9.472,199.890,-1.509,-11.268
0.210,0.905,-9.767,200.163,-1.511,-11.316
0.215,0.979,-10.072,200.370,-1.512,-11.365
0.220,1.062,-10.379,200.513,-1.509,-11.414
0.225,1.125,-10.696,200.597,-1.506,-11.471
0.230,1.151,-11.021,200.642,-1.503,-11.551
0.235,1.147,-11.346,200.651,-1.502,-11.648
0.240,1.132,-11.662,200.588,-1.500,-11.740
0.245,1.105,-11.972,200.421,-1.499,-11.819
0.250,1.038,-12.289,200.180,-1.499,-11.895
0.255,0.901,-12.637,199.911,-1.501,-11.977
0.260,0.707,-13.019,199.662,-1.505,-12.058
0.265,0.512,-13.406,199.454,-1.510,-12.131
0.270,0.365,-13.763,199.274,-1.516,-12.183
0.275,0.276,-14.055,199.127,-1.526,-12.211
0.280,0.218,-14.276,199.055,-1.539,-12.223
0.285,0.168,-14.431,199.121,-1.555,-12.227
0.290,0.136,-14.535,199.355,-1.570,-12.222
0.295,0.147,-14.604,199.766,-1.586,-12.202
0.300,0.210,-14.655,200.332,-1.602,-12.168
0.305,0.308,-14.698,200.991,-1.617,-12.128
0.310,0.421,-14.731,201.673,-1.630,-12.089
0.315,0.549,-14.758,202.300,-1.643,-12.051
0.320,0.723,-14.793,202.808,-1.655,-12.014
0.325,0.978,-14.861,203.170,-1.663,-11.979
0.330,1.307,-14.970,203.375,-1.669,-11.955
0.335,1.670,-15.107,203.387,-1.673,-11.947
0.340,2.013,-15.237,203.157,-1.676,-11.945
0.345,2.303,-15.337,202.678,-1.679,-11.934
