Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
52.933,0.271,0.120,42.707,0.219,0.135,1.239,5.960,195.000,69.942,-3.784,95.811,-0.575,-42.643,166.044,0.852,-260.638,1.337,0.245,2.311,3.454,0.025,0.000,284.688,1.460,412.883,2.117,0.270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,2.189,-2.940,199.279,-0.810,-10.288
0.005,3.086,-3.297,199.642,-1.092,-10.578
0.010,2.896,-3.480,194.437,-1.002,-10.771
0.015,2.541,-4.217,223.220,-0.984,-10.732
0.020,1.655,-3.041,195.845,-0.876,-10.575
0.025,2.088,-2.482,203.286,-0.965,-10.315
0.030,2.065,-2.089,199.720,-0.989,-10.150
0.035,2.227,-2.778,201.583,-1.069,-10.189
0.040,2.618,-3.085,200.127,-1.066,-10.239
0.045,2.639,-3.104,200.122,-1.068,-10.236
0.050,2.671,-3.104,200.118,-1.068,-10.231
0.055,2.701,-3.093,200.099,-1.069,-10.224
0.060,2.715,-3.075,200.082,-1.069,-10.217
0.065,2.702,-3.054,200.085,-1.068,-10.214
0.070,2.670,-3.031,200.096,-1.066,-10.212
0.075,2.637,-3.009,200.091,-1.063,-10.211
0.080,2.608,-2.991,200.098,-1.059,-10.215
0.085,2.579,-2.985,200.088,-1.056,-10.219
0.090,2.545,-2.997,200.075,-1.052,-10.226
0.095,2.510,-3.030,200.075,-1.049,-10.237
0.100,2.478,-3.086,200.076,-1.045,-10.253
0.105,2.457,-3.163,200.061,-1.043,-10.273
0.110,2.450,-3.255,200.041,-1.040,-10.295
0.115,2.444,-3.360,200.016,-1.037,-10.319
0.120,2.423,-3.479,199.978,-1.033,-10.343
0.125,2.371,-3.612,199.952,-1.030,-10.373
0.130,2.299,-3.754,199.931,-1.028,-10.408
0.135,2.238,-3.908,199.909,-1.025,-10.445
0.140,2.211,-4.071,199.887,-1.023,-10.479
0.145,2.212,-4.242,199.874,-1.021,-10.512
0.150,2.214,-4.413,199.859,-1.020,-10.543
0.155,2.196,-4.575,199.852,-1.020,-10.570
0.160,2.178,-4.714,199.832,-1.020,-10.596
0.165,2.198,-4.823,199.819,-1.022,-10.618
0.170,2.269,-4.904,199.814,-1.024,-10.635
0.175,2.359,-4.970,199.823,-1.026,-10.650
0.180,2.427,-5.027,199.874,-1.026,-10.666
0.185,2.447,-5.084,199.948,-1.027,-10.684
0.190,2.439,-5.152,200.027,-1.028,-10.706
0.195,2.453,-5.235,200.100,-1.028,-10.737
0.200,2.516,-5.348,200.182,-1.027,-10.777
0.205,2.617,-5.506,200.255,-1.025,-10.820
0.210,2.712,-5.711,200.317,-1.022,-10.867
0.215,2.763,-5.948,200.351,-1.020,-10.917
0.220,2.772,-6.191,200.320,-1.019,-10.969
0.225,2.783,-6.423,200.243,-1.017,-11.022
0.230,2.824,-6.635,200.155,-1.015,-11.075
0.235,2.881,-6.835,200.072,-1.013,-11.125
0.240,2.901,-7.034,199.978,-1.012,-11.175
0.245,2.857,-7.238,199.847,-1.012,-11.232
0.250,2.776,-7.452,199.674,-1.014,-11.288
0.255,2.729,-7.687,199.486,-1.016,-11.338
0.260,2.739,-7.955,199.326,-1.017,-11.384
0.265,2.784,-8.258,199.221,-1.019,-11.436
0.270,2.813,-8.587,199.182,-1.022,-11.496
0.275,2.816,-8.924,199.196,-1.027,-11.562
0.280,2.832,-9.244,199.232,-1.033,-11.623
0.285,2.895,-9.541,199.303,-1.040,-11.670
0.290,3.004,-9.824,199.416,-1.047,-11.709
0.295,3.114,-10.099,199.555,-1.056,-11.751
0.300,3.204,-10.373,199.780,-1.067,-11.799
0.305,3.283,-10.641,200.025,-1.078,-11.845
0.310,3.383,-10.904,200.235,-1.088,-11.887
0.315,3.502,-11.156,200.407,-1.097,-11.928
0.320,3.616,-11.412,200.535,-1.103,-11.967
0.325,3.688,-11.678,200.608,-1.109,-12.014
0.330,3.723,-11.954,200.654,-1.112,-12.076
0.335,3.738,-12.229,200.705,-1.112,-12.143
0.340,3.729,-12.492,200.655,-1.108,-12.212
0.345,3.668,-12.736,200.529,-1.103,-12.285
0.350,3.538,-12.973,200.404,-1.096,-12.360
0.355,3.351,-13.233,200.251,-1.089,-12.425
0.360,3.124,-13.524,200.133,-1.080,-12.489
0.365,2.886,-13.849,200.102,-1.069,-12.550
0.370,2.645,-14.194,200.149,-1.057,-12.598
0.375,2.416,-14.548,200.269,-1.045,-12.636
0.380,2.220,-14.890,200.473,-1.033,-12.670
0.385,2.077,-15.207,200.798,-1.021,-12.684
0.390,2.002,-15.494,201.177,-1.010,-12.675
0.395,2.012,-15.748,201.636,-1.001,-12.656
0.400,2.131,-15.975,202.196,-0.992,-12.630
0.405,2.356,-16.166,202.766,-0.982,-12.592
0.410,2.662,-16.293,203.262,-0.974,-12.546
0.415,3.008,-16.327,203.635,-0.968,-12.486
0.420,3.377,-16.273,203.840,-0.962,-12.400
0.425,3.776,-16.163,203.841,-0.952,-12.300
0.430,4.198,-16.014,203.701,-0.939,-12.207
0.435,4.602,-15.819,203.465,-0.921,-12.109
0.440,4.937,-15.567,203.102,-0.900,-11.996
0.445,5.177,-15.241,202.607,-0.874,-11.868
0.450,5.320,-14.846,202.038,-0.841,-11.727
0.455,5.391,-14.411,201.448,-0.801,-11.568
0.460,5.418,-13.946,200.931,-0.755,-11.399
0.465,5.426,-13.431,200.555,-0.700,-11.228
0.470,5.411,-12.862,200.293,-0.634,-11.037
0.475,5.319,-12.243,200.124,-0.554,-10.818
0.480,5.067,-11.593,200.061,-0.458,-10.588
0.485,4.623,-10.935,200.160,-0.349,-10.364
0.490,4.056,-10.284,200.450,-0.225,-10.131
0.495,3.463,-9.617,200.941,-0.086,-9.880
0.500,2.846,-8.876,201.624,0.066,-9.631
0.505,2.118,-8.023,202.496,0.224,-9.392
0.510,1.250,-7.066,203.607,0.379,-9.151
0.515,0.362,-6.062,205.053,0.522,-8.926
0.520,-0.347,-5.078,206.902,0.654,-8.702
0.525,-0.753,-4.149,209.255,0.771,-8.465
0.530,-0.910,-3.274,212.229,0.865,-8.246
0.535,-0.953,-2.483,215.876,0.929,-8.072
0.540,-0.916,-1.850,220.101,0.965,-7.923
0.545,-0.699,-1.407,224.717,0.982,-7.766
0.550,-0.179,-1.124,229.540,0.985,-7.599
0.555,0.652,-0.916,234.300,0.977,-7.431
0.560,1.640,-0.712,238.769,0.956,-7.280
0.565,2.590,-0.500,242.669,0.923,-7.142
0.570,3.438,-0.313,245.622,0.883,-6.994
0.575,4.278,-0.156,247.327,0.836,-6.807
0.580,5.222,0.013,247.688,0.784,-6.575
0.585,6.250,0.239,246.821,0.719,-6.310
0.590,7.167,0.574,244.881,0.638,-6.028
0.595,7.799,1.057,242.144,0.526,-5.720
0.600,8.157,1.752,238.898,0.406,-5.383
0.605,8.401,2.692,235.362,0.268,-5.030
0.610,8.642,3.870,231.750,0.116,-4.655
0.615,8.828,5.227,228.327,-0.050,-4.272
0.620,8.812,6.687,225.290,-0.226,-3.892
0.625,8.510,8.187,222.785,-0.404,-3.519
0.630,7.969,9.695,220.954,-0.575,-3.183
0.635,7.301,11.203,219.805,-0.734,-2.901
0.640,6.551,12.651,219.194,-0.881,-2.666
0.645,5.740,13.959,219.025,-1.007,-2.457
0.650,4.960,15.043,219.368,-1.105,-2.280
0.655,4.349,15.869,220.140,-1.178,-2.153
0.660,3.966,16.443,221.288,-1.232,-2.094
0.665,3.760,16.809,222.700,-1.273,-2.089
0.670,3.640,17.025,224.091,-1.297,-2.099
0.675,3.562,17.141,225.199,-1.307,-2.109
0.680,3.602,17.198,225.905,-1.309,-2.115
0.685,3.833,17.220,226.187,-1.309,-2.119
0.690,4.181,17.237,225.962,-1.307,-2.131
0.695,4.444,17.274,225.195,-1.298,-2.146
0.700,4.487,17.359,223.886,-1.284,-2.151
0.705,4.368,17.500,221.996,-1.269,-2.150
0.710,4.287,17.686,219.621,-1.254,-2.147
0.715,4.403,17.886,216.994,-1.237,-2.130
0.720,4.676,18.048,214.373,-1.215,-2.100
0.725,4.896,18.157,211.947,-1.191,-2.079
0.730,4.870,18.242,209.806,-1.169,-2.085
0.735,4.612,18.348,208.012,-1.150,-2.112
0.740,4.315,18.494,206.572,-1.130,-2.129
0.745,4.145,18.657,205.475,-1.110,-2.123
0.750,4.085,18.781,204.736,-1.091,-2.111
0.755,3.976,18.831,204.312,-1.079,-2.115
