Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
52.212,0.268,0.125,42.794,0.219,0.150,1.220,5.878,195.000,69.542,-3.631,95.263,12.577,-24.120,155.721,0.799,-235.085,1.206,0.240,2.289,3.191,0.080,0.005,290.679,1.491,387.168,1.985,0.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,2.726,-2.855,201.021,-0.453,-10.455
0.005,1.461,-2.253,201.848,-0.223,-10.068
0.010,1.522,-2.566,200.805,-0.202,-10.062
0.015,2.415,-3.354,200.479,-0.429,-10.219
0.020,2.478,-3.156,200.827,-0.497,-10.139
0.025,2.447,-2.972,200.333,-0.521,-10.020
0.030,2.869,-2.932,200.379,-0.577,-9.943
0.035,2.610,-3.522,200.700,-0.534,-10.062
0.040,2.641,-4.140,200.013,-0.524,-10.234
0.045,2.655,-4.219,199.986,-0.524,-10.249
0.050,2.663,-4.299,199.973,-0.522,-10.265
0.055,2.657,-4.383,199.971,-0.520,-10.282
0.060,2.631,-4.476,199.986,-0.518,-10.302
0.065,2.601,-4.576,200.019,-0.516,-10.325
0.070,2.590,-4.680,200.073,-0.513,-10.348
0.075,2.609,-4.787,200.138,-0.509,-10.373
0.080,2.648,-4.895,200.216,-0.504,-10.401
0.085,2.684,-5.004,200.305,-0.499,-10.432
0.090,2.713,-5.112,200.368,-0.494,-10.465
0.095,2.746,-5.220,200.381,-0.488,-10.504
0.100,2.801,-5.330,200.339,-0.482,-10.547
0.105,2.874,-5.458,200.238,-0.475,-10.592
0.110,2.947,-5.621,200.094,-0.469,-10.640
0.115,2.985,-5.824,199.909,-0.461,-10.695
0.120,2.977,-6.060,199.688,-0.454,-10.759
0.125,2.934,-6.315,199.429,-0.449,-10.827
0.130,2.880,-6.581,199.162,-0.444,-10.895
0.135,2.833,-6.860,198.920,-0.441,-10.958
0.140,2.792,-7.158,198.735,-0.438,-11.021
0.145,2.738,-7.478,198.633,-0.436,-11.085
0.150,2.656,-7.818,198.635,-0.436,-11.157
0.155,2.566,-8.180,198.745,-0.437,-11.233
0.160,2.511,-8.569,198.976,-0.438,-11.308
0.165,2.510,-8.997,199.313,-0.438,-11.386
0.170,2.550,-9.457,199.699,-0.438,-11.471
0.175,2.590,-9.939,200.101,-0.438,-11.564
0.180,2.606,-10.430,200.459,-0.438,-11.653
0.185,2.606,-10.920,200.759,-0.438,-11.743
0.190,2.619,-11.401,200.969,-0.438,-11.832
0.195,2.647,-11.864,201.112,-0.439,-11.919
0.200,2.655,-12.292,201.180,-0.440,-12.002
0.205,2.608,-12.675,201.166,-0.442,-12.080
0.210,2.505,-13.015,201.105,-0.444,-12.154
0.215,2.381,-13.333,201.020,-0.447,-12.221
0.220,2.284,-13.648,200.972,-0.449,-12.289
0.225,2.234,-13.979,201.017,-0.448,-12.355
0.230,2.204,-14.333,201.207,-0.444,-12.417
0.235,2.162,-14.707,201.521,-0.438,-12.482
0.240,2.108,-15.094,201.891,-0.431,-12.556
0.245,2.090,-15.487,202.256,-0.424,-12.630
0.250,2.155,-15.884,202.556,-0.418,-12.689
