Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
52.310,0.268,0.095,44.056,0.226,0.170,1.187,5.890,195.000,70.711,-4.143,96.864,3.121,-31.748,180.453,0.925,-233.632,1.198,0.270,2.496,3.212,0.030,0.020,306.309,1.571,392.682,2.014,0.280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,1.681,-6.685,201.818,-0.465,-10.115
0.005,1.905,-6.900,202.142,-0.447,-10.663
0.010,0.586,-4.485,200.835,-0.128,-10.428
0.015,-0.077,-4.778,200.055,0.213,-10.729
0.020,-0.828,-4.660,200.809,0.440,-10.709
0.025,-0.902,-3.494,193.944,0.427,-10.557
0.030,1.342,-3.361,216.334,-0.193,-10.162
0.035,1.039,-2.928,197.171,-0.215,-10.065
0.040,1.049,-2.954,197.529,-0.210,-10.070
0.045,1.065,-2.960,197.910,-0.206,-10.072
0.050,1.079,-2.944,198.301,-0.203,-10.072
0.055,1.094,-2.909,198.683,-0.200,-10.074
0.060,1.107,-2.858,199.045,-0.196,-10.073
0.065,1.124,-2.801,199.371,-0.193,-10.068
0.070,1.137,-2.748,199.664,-0.190,-10.060
0.075,1.144,-2.704,199.926,-0.186,-10.054
0.080,1.144,-2.671,200.152,-0.182,-10.048
0.085,1.144,-2.647,200.337,-0.177,-10.040
0.090,1.151,-2.628,200.477,-0.173,-10.031
0.095,1.159,-2.613,200.574,-0.169,-10.018
0.100,1.169,-2.605,200.650,-0.165,-10.002
0.105,1.171,-2.604,200.721,-0.160,-9.990
0.110,1.169,-2.610,200.812,-0.156,-9.984
0.115,1.165,-2.626,200.910,-0.152,-9.980
0.120,1.164,-2.650,201.010,-0.149,-9.978
0.125,1.161,-2.681,201.111,-0.145,-9.977
0.130,1.149,-2.725,201.202,-0.141,-9.978
0.135,1.128,-2.782,201.294,-0.138,-9.983
0.140,1.099,-2.850,201.389,-0.135,-9.993
0.145,1.065,-2.921,201.480,-0.132,-10.007
0.150,1.027,-2.985,201.551,-0.129,-10.021
0.155,0.977,-3.040,201.604,-0.126,-10.036
0.160,0.910,-3.085,201.623,-0.122,-10.051
0.165,0.827,-3.127,201.602,-0.118,-10.067
0.170,0.741,-3.168,201.540,-0.114,-10.081
0.175,0.656,-3.213,201.441,-0.111,-10.098
0.180,0.580,-3.266,201.307,-0.107,-10.114
0.185,0.511,-3.336,201.146,-0.103,-10.130
0.190,0.442,-3.416,200.966,-0.099,-10.141
0.195,0.382,-3.495,200.768,-0.097,-10.151
0.200,0.340,-3.560,200.576,-0.097,-10.158
0.205,0.328,-3.601,200.403,-0.097,-10.160
0.210,0.344,-3.616,200.275,-0.099,-10.161
0.215,0.380,-3.603,200.183,-0.102,-10.161
0.220,0.427,-3.573,200.144,-0.107,-10.159
0.225,0.484,-3.532,200.133,-0.114,-10.153
0.230,0.563,-3.497,200.160,-0.121,-10.147
0.235,0.662,-3.478,200.258,-0.128,-10.143
0.240,0.763,-3.484,200.392,-0.135,-10.146
0.245,0.836,-3.514,200.564,-0.142,-10.156
0.250,0.873,-3.566,200.768,-0.147,-10.172
0.255,0.887,-3.641,200.944,-0.151,-10.188
0.260,0.908,-3.733,201.087,-0.154,-10.204
0.265,0.937,-3.832,201.215,-0.156,-10.224
0.270,0.947,-3.930,201.293,-0.157,-10.246
0.275,0.916,-4.020,201.306,-0.157,-10.270
0.280,0.854,-4.090,201.275,-0.158,-10.293
0.285,0.808,-4.149,201.182,-0.158,-10.313
0.290,0.802,-4.206,201.001,-0.159,-10.334
0.295,0.836,-4.271,200.809,-0.158,-10.359
0.300,0.868,-4.357,200.601,-0.158,-10.390
0.305,0.883,-4.473,200.362,-0.158,-10.420
0.310,0.889,-4.620,200.134,-0.159,-10.453
0.315,0.910,-4.796,199.901,-0.159,-10.490
0.320,0.960,-5.002,199.686,-0.159,-10.530
0.325,1.022,-5.225,199.515,-0.159,-10.578
0.330,1.062,-5.448,199.400,-0.159,-10.628
0.335,1.057,-5.660,199.326,-0.161,-10.679
0.340,1.021,-5.850,199.258,-0.163,-10.732
0.345,0.981,-6.026,199.204,-0.168,-10.793
0.350,0.977,-6.206,199.150,-0.174,-10.862
0.355,1.017,-6.413,199.110,-0.182,-10.937
0.360,1.085,-6.669,199.076,-0.193,-11.015
0.365,1.159,-6.984,199.060,-0.206,-11.095
0.370,1.231,-7.359,199.068,-0.220,-11.173
0.375,1.304,-7.779,199.089,-0.234,-11.248
0.380,1.384,-8.218,199.164,-0.248,-11.317
0.385,1.464,-8.639,199.297,-0.261,-11.377
0.390,1.523,-9.013,199.467,-0.273,-11.428
0.395,1.556,-9.315,199.682,-0.284,-11.473
0.400,1.564,-9.548,199.896,-0.295,-11.514
0.405,1.558,-9.731,200.049,-0.304,-11.552
0.410,1.551,-9.888,200.134,-0.314,-11.589
0.415,1.559,-10.039,200.132,-0.325,-11.629
0.420,1.602,-10.212,200.062,-0.336,-11.673
0.425,1.695,-10.428,199.942,-0.348,-11.729
0.430,1.832,-10.697,199.806,-0.358,-11.790
0.435,1.979,-11.016,199.652,-0.366,-11.854
0.440,2.092,-11.361,199.491,-0.372,-11.916
0.445,2.147,-11.694,199.372,-0.374,-11.975
0.450,2.154,-11.988,199.290,-0.374,-12.030
0.455,2.133,-12.224,199.279,-0.368,-12.083
0.460,2.087,-12.397,199.324,-0.359,-12.132
0.465,1.997,-12.508,199.405,-0.348,-12.172
0.470,1.852,-12.565,199.506,-0.336,-12.198
0.475,1.671,-12.582,199.592,-0.325,-12.215
0.480,1.510,-12.580,199.728,-0.314,-12.220
0.485,1.427,-12.576,199.922,-0.305,-12.215
0.490,1.428,-12.586,200.212,-0.298,-12.203
0.495,1.481,-12.621,200.606,-0.292,-12.187
0.500,1.543,-12.683,201.069,-0.287,-12.168
0.505,1.613,-12.782,201.579,-0.283,-12.149
0.510,1.719,-12.911,202.073,-0.278,-12.131
0.515,1.881,-13.062,202.523,-0.271,-12.112
0.520,2.074,-13.232,202.836,-0.260,-12.094
0.525,2.230,-13.426,202.945,-0.247,-12.086
0.530,2.302,-13.638,202.864,-0.232,-12.088
0.535,2.278,-13.853,202.608,-0.212,-12.090
0.540,2.175,-14.044,202.218,-0.188,-12.090
0.545,2.024,-14.187,201.736,-0.163,-12.086
0.550,1.829,-14.287,201.214,-0.138,-12.078
0.555,1.599,-14.365,200.722,-0.114,-12.060
0.560,1.360,-14.436,200.333,-0.090,-12.029
0.565,1.175,-14.495,200.146,-0.067,-11.973
0.570,1.075,-14.526,200.180,-0.044,-11.886
0.575,1.060,-14.509,200.390,-0.022,-11.778
0.580,1.099,-14.415,200.776,0.001,-11.649
0.585,1.192,-14.221,201.302,0.026,-11.492
0.590,1.370,-13.927,201.918,0.057,-11.306
0.595,1.645,-13.560,202.612,0.097,-11.101
0.600,1.946,-13.148,203.355,0.146,-10.880
0.605,2.150,-12.690,204.062,0.205,-10.653
0.610,2.200,-12.142,204.568,0.271,-10.432
0.615,2.157,-11.462,204.814,0.346,-10.208
0.620,2.130,-10.669,204.736,0.433,-9.967
0.625,2.102,-9.829,204.299,0.533,-9.728
0.630,1.928,-8.998,203.628,0.643,-9.524
0.635,1.492,-8.192,202.789,0.753,-9.338
0.640,0.881,-7.395,201.853,0.861,-9.138
0.645,0.331,-6.596,200.992,0.970,-8.918
0.650,0.007,-5.819,200.506,1.078,-8.683
0.655,-0.128,-5.110,200.662,1.177,-8.454
0.660,-0.240,-4.483,201.644,1.257,-8.259
0.665,-0.382,-3.916,203.612,1.320,-8.071
0.670,-0.421,-3.391,206.573,1.371,-7.850
0.675,-0.169,-2.893,210.431,1.413,-7.626
0.680,0.386,-2.413,215.057,1.441,-7.453
0.685,1.076,-1.968,220.181,1.458,-7.320
0.690,1.727,-1.548,225.434,1.473,-7.190
0.695,2.304,-1.147,230.438,1.492,-7.057
0.700,2.887,-0.790,234.918,1.509,-6.919
0.705,3.528,-0.509,238.529,1.522,-6.779
0.710,4.172,-0.310,240.959,1.530,-6.642
0.715,4.714,-0.172,242.117,1.535,-6.493
0.720,5.126,-0.064,242.022,1.534,-6.289
0.725,5.457,0.078,240.812,1.519,-6.041
0.730,5.761,0.305,238.745,1.482,-5.783
0.735,6.031,0.673,236.082,1.410,-5.507
0.740,6.231,1.256,232.971,1.325,-5.193
0.745,6.344,2.107,229.668,1.216,-4.850
0.750,6.373,3.230,226.434,1.084,-4.484
0.755,6.308,4.570,223.432,0.932,-4.105
0.760,6.135,6.032,220.773,0.765,-3.753
0.765,5.852,7.527,218.576,0.593,-3.421
0.770,5.438,8.987,216.877,0.427,-3.089
0.775,4.877,10.374,215.623,0.268,-2.778
0.780,4.164,11.660,214.882,0.121,-2.520
0.785,3.348,12.790,214.677,-0.008,-2.306
0.790,2.580,13.705,215.037,-0.111,-2.127
0.795,2.023,14.408,216.003,-0.187,-1.992
0.800,1.707,14.937,217.528,-0.242,-1.922
0.805,1.524,15.333,219.432,-0.285,-1.899
0.810,1.386,15.641,221.446,-0.314,-1.896
