Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
49.723,0.255,0.175,37.053,0.190,0.130,1.342,5.598,195.000,60.552,-2.786,82.948,3.190,-13.963,158.027,0.810,-236.258,1.212,0.180,2.405,3.239,0.045,-0.080,310.947,1.595,395.293,2.027,0.305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,0.617,-1.841,199.465,0.533,-8.915
0.005,0.268,-1.988,199.691,0.631,-8.894
0.010,-0.173,-1.999,200.204,0.764,-8.850
0.015,-0.128,-1.568,199.794,0.730,-8.723
0.020,0.057,-1.673,200.161,0.600,-8.715
0.025,0.365,-1.677,200.038,0.462,-8.675
0.030,0.318,-2.015,199.993,0.408,-8.730
0.035,0.255,-2.734,199.513,0.447,-8.965
0.040,0.247,-2.807,199.481,0.452,-8.987
0.045,0.239,-2.885,199.442,0.457,-9.008
0.050,0.231,-2.967,199.395,0.463,-9.030
0.055,0.218,-3.053,199.349,0.471,-9.054
0.060,0.197,-3.141,199.313,0.479,-9.079
0.065,0.161,-3.233,199.291,0.488,-9.106
0.070,0.115,-3.326,199.287,0.498,-9.136
0.075,0.070,-3.418,199.291,0.508,-9.167
0.080,0.034,-3.507,199.296,0.519,-9.197
0.085,0.000,-3.595,199.307,0.531,-9.229
0.090,-0.044,-3.685,199.322,0.544,-9.263
0.095,-0.112,-3.785,199.340,0.556,-9.299
0.100,-0.204,-3.898,199.352,0.569,-9.338
0.105,-0.296,-4.023,199.360,0.581,-9.378
0.110,-0.367,-4.161,199.358,0.593,-9.418
0.115,-0.419,-4.311,199.359,0.605,-9.459
0.120,-0.478,-4.477,199.363,0.617,-9.503
0.125,-0.563,-4.664,199.375,0.629,-9.550
0.130,-0.667,-4.873,199.398,0.640,-9.601
0.135,-0.758,-5.100,199.420,0.651,-9.651
0.140,-0.815,-5.337,199.445,0.662,-9.702
0.145,-0.837,-5.575,199.466,0.673,-9.755
0.150,-0.852,-5.814,199.490,0.683,-9.810
0.155,-0.881,-6.055,199.511,0.692,-9.864
0.160,-0.920,-6.296,199.530,0.700,-9.915
0.165,-0.941,-6.531,199.552,0.709,-9.961
0.170,-0.931,-6.748,199.579,0.717,-10.005
0.175,-0.897,-6.945,199.629,0.725,-10.051
0.180,-0.871,-7.129,199.702,0.733,-10.098
0.185,-0.881,-7.313,199.791,0.740,-10.145
0.190,-0.923,-7.501,199.891,0.747,-10.190
0.195,-0.971,-7.703,199.998,0.754,-10.235
0.200,-1.002,-7.919,200.109,0.760,-10.281
