Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
-13.077,-0.067,0.155,28.562,0.146,0.040,-0.458,-1.472,195.000,83.597,7.461,114.517,-2.582,-105.965,179.458,0.920,-274.074,1.406,1.035,2.533,4.413,0.025,0.000,314.540,1.613,586.440,3.007,1.060,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,1.782,-1.824,198.777,-2.156,-10.273
0.005,2.539,-0.995,199.780,-2.294,-10.063
0.010,2.092,-1.666,199.732,-2.304,-10.223
0.015,1.812,-1.701,199.818,-2.206,-10.223
0.020,1.386,-1.642,199.716,-2.105,-10.188
0.025,1.465,-1.260,200.216,-2.123,-10.033
0.030,2.746,-4.263,196.880,-2.281,-10.868
0.035,4.817,-12.224,201.402,-2.582,-12.512
0.040,4.878,-12.459,201.898,-2.582,-12.526
0.045,4.977,-12.689,202.383,-2.581,-12.530
0.050,5.134,-12.903,202.858,-2.576,-12.527
0.055,5.368,-13.075,203.287,-2.567,-12.514
0.060,5.688,-13.189,203.611,-2.556,-12.485
0.065,6.092,-13.235,203.775,-2.540,-12.431
0.070,6.564,-13.218,203.790,-2.517,-12.345
0.075,7.066,-13.150,203.707,-2.485,-12.219
0.080,7.535,-13.026,203.567,-2.441,-12.062
0.085,7.925,-12.818,203.362,-2.384,-11.888
0.090,8.215,-12.484,203.086,-2.314,-11.692
0.095,8.410,-12.005,202.754,-2.226,-11.454
0.100,8.486,-11.384,202.403,-2.116,-11.180
0.105,8.403,-10.635,202.109,-1.987,-10.897
0.110,8.126,-9.786,201.963,-1.838,-10.606
0.115,7.652,-8.849,202.018,-1.670,-10.309
0.120,6.988,-7.833,202.294,-1.484,-10.023
0.125,6.180,-6.759,202.879,-1.287,-9.742
0.130,5.307,-5.691,203.990,-1.086,-9.446
0.135,4.405,-4.671,205.793,-0.885,-9.177
0.140,3.461,-3.700,208.425,-0.688,-9.000
0.145,2.479,-2.770,211.918,-0.505,-8.878
0.150,1.569,-1.892,216.102,-0.347,-8.767
0.155,0.911,-1.104,220.691,-0.216,-8.677
0.160,0.634,-0.441,225.392,-0.110,-8.607
0.165,0.698,0.095,229.869,-0.030,-8.515
0.170,0.958,0.576,233.748,0.019,-8.392
0.175,1.356,1.060,236.824,0.037,-8.251
0.180,1.971,1.592,238.934,0.026,-8.053
0.185,2.890,2.179,239.970,-0.013,-7.790
0.190,4.050,2.857,239.908,-0.080,-7.501
0.195,5.273,3.643,238.862,-0.174,-7.174
0.200,6.394,4.512,237.076,-0.295,-6.775
0.205,7.346,5.456,234.862,-0.439,-6.328
0.210,8.141,6.471,232.557,-0.604,-5.892
0.215,8.786,7.574,230.334,-0.801,-5.446
0.220,9.242,8.779,228.281,-1.001,-4.978
0.225,9.449,10.102,226.529,-1.204,-4.510
0.230,9.363,11.517,225.220,-1.402,-4.053
0.235,8.960,12.999,224.503,-1.594,-3.614
0.240,8.246,14.535,224.456,-1.776,-3.226
