Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
52.001,0.267,0.090,41.531,0.213,0.125,1.252,5.855,195.000,68.659,-4.065,94.054,0.514,-76.208,171.049,0.877,-265.125,1.360,0.265,2.472,3.565,0.035,0.005,311.084,1.595,430.038,2.205,0.295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,0.322,-1.180,191.396,-0.513,-10.247
0.005,1.317,-2.197,211.493,-0.636,-10.205
0.010,0.023,-1.772,194.867,-0.481,-10.308
0.015,0.868,-1.964,201.111,-0.570,-10.303
0.020,0.724,-1.830,198.993,-0.562,-10.226
0.025,0.832,-1.573,200.289,-0.505,-10.093
0.030,0.343,-1.630,199.096,-0.368,-10.077
0.035,0.703,-4.378,199.312,-0.384,-10.721
0.040,3.786,-10.334,200.079,-0.692,-11.940
0.045,4.103,-10.737,200.158,-0.711,-11.990
0.050,4.420,-11.130,200.162,-0.731,-12.028
0.055,4.711,-11.513,200.121,-0.750,-12.051
0.060,4.995,-11.879,200.107,-0.765,-12.063
0.065,5.316,-12.214,200.127,-0.775,-12.064
0.070,5.694,-12.495,200.127,-0.780,-12.054
0.075,6.103,-12.694,200.074,-0.775,-12.028
0.080,6.499,-12.804,199.959,-0.758,-11.974
0.085,6.856,-12.822,199.803,-0.727,-11.893
0.090,7.197,-12.752,199.629,-0.681,-11.793
0.095,7.534,-12.595,199.451,-0.614,-11.679
0.100,7.797,-12.357,199.245,-0.520,-11.542
0.105,7.821,-12.016,198.955,-0.401,-11.387
0.110,7.474,-11.547,198.576,-0.260,-11.215
0.115,6.783,-10.925,198.170,-0.099,-10.999
0.120,5.890,-10.153,197.882,0.086,-10.741
0.125,4.911,-9.256,197.953,0.288,-10.471
0.130,3.861,-8.272,198.676,0.495,-10.207
0.135,2.740,-7.225,200.245,0.690,-9.940
0.140,1.629,-6.130,202.897,0.873,-9.688
0.145,0.699,-4.983,206.772,1.041,-9.457
0.150,0.121,-3.797,211.839,1.185,-9.265
0.155,-0.045,-2.639,217.884,1.288,-9.125
0.160,0.168,-1.598,224.400,1.354,-9.007
0.165,0.710,-0.720,230.807,1.395,-8.869
0.170,1.517,-0.002,236.566,1.415,-8.675
0.175,2.525,0.621,241.345,1.412,-8.446
0.180,3.673,1.266,244.906,1.376,-8.198
0.185,4.949,2.014,247.100,1.306,-7.924
0.190,6.344,2.913,247.905,1.208,-7.592
0.195,7.794,3.997,247.393,1.083,-7.187
0.200,9.163,5.238,245.797,0.925,-6.732
0.205,10.307,6.604,243.504,0.729,-6.237
0.210,11.181,8.072,240.942,0.485,-5.711
0.215,11.833,9.629,238.427,0.229,-5.186
0.220,12.314,11.266,236.184,-0.044,-4.643
0.225,12.559,12.967,234.441,-0.322,-4.092
0.230,12.388,14.722,233.341,-0.592,-3.567
0.235,11.633,16.506,232.939,-0.840,-3.107
0.240,10.321,18.282,233.325,-1.054,-2.722
0.245,8.807,19.948,234.579,-1.220,-2.411
0.250,7.529,21.440,236.560,-1.333,-2.195
0.255,6.636,22.704,238.970,-1.404,-2.107
0.260,5.940,23.736,241.342,-1.442,-2.093
0.265,5.197,24.583,243.122,-1.450,-2.078
0.270,4.397,25.287,243.947,-1.434,-2.053
0.275,3.792,25.888,243.797,-1.400,-2.024
0.280,3.647,26.406,242.802,-1.361,-2.000
0.285,3.848,26.885,240.976,-1.322,-2.011
0.290,3.967,27.362,238.333,-1.283,-2.053
0.295,3.653,27.856,234.884,-1.240,-2.057
0.300,2.956,28.333,230.709,-1.197,-2.016
0.305,2.232,28.710,226.104,-1.159,-1.981
0.310,1.804,28.904,221.474,-1.123,-1.959
0.315,1.685,28.854,217.067,-1.083,-1.956
0.320,1.604,28.609,212.975,-1.040,-1.991
0.325,1.285,28.263,209.180,-1.006,-2.054
0.330,0.711,27.888,205.450,-0.975,-2.098
0.335,0.076,27.535,201.801,-0.946,-2.095
0.340,-0.379,27.226,198.314,-0.908,-2.118
0.345,-0.634,26.911,194.987,-0.884,-2.134
0.350,-0.818,26.565,191.897,-0.863,-2.164
0.355,-1.128,26.198,188.986,-0.842,-2.214
0.360,-1.593,25.868,186.243,-0.831,-2.291
0.365,-2.075,25.634,183.299,-0.821,-2.337
0.370,-2.453,25.512,180.433,-0.816,-2.332
0.375,-2.673,25.462,177.529,-0.804,-2.346
0.380,-2.848,25.430,174.499,-0.811,-2.332
0.385,-3.086,25.367,172.027,-0.807,-2.393
0.390,-3.423,25.280,169.377,-0.803,-2.440
0.395,-3.800,25.154,166.786,-0.798,-2.502
0.400,-4.219,25.047,164.005,-0.784,-2.548
0.405,-4.627,24.953,161.079,-0.772,-2.554
0.410,-4.991,24.852,157.847,-0.762,-2.563
0.415,-5.311,24.743,154.587,-0.765,-2.556
0.420,-5.577,24.603,151.535,-0.752,-2.587
0.425,-5.811,24.435,148.088,-0.736,-2.586
0.430,-6.057,24.291,144.969,-0.724,-2.653
0.435,-6.261,24.214,141.723,-0.726,-2.697
0.440,-6.329,24.178,138.267,-0.726,-2.668
0.445,-6.264,24.177,134.909,-0.722,-2.669
0.450,-6.128,24.195,131.557,-0.718,-2.678
0.455,-5.969,24.162,128.235,-0.713,-2.707
0.460,-5.859,24.071,124.893,-0.712,-2.732
0.465,-5.790,23.951,121.642,-0.715,-2.781
0.470,-5.733,23.778,118.302,-0.709,-2.795
0.475,-5.752,23.606,114.878,-0.691,-2.764
0.480,-5.910,23.452,111.664,-0.672,-2.760
0.485,-6.219,23.300,108.543,-0.661,-2.750
0.490,-6.612,23.125,105.730,-0.657,-2.762
0.495,-6.970,22.921,103.311,-0.654,-2.773
0.500,-7.176,22.707,101.286,-0.651,-2.794
0.505,-7.189,22.542,99.604,-0.661,-2.775
0.510,-7.031,22.489,98.295,-0.692,-2.736
0.515,-6.717,22.553,97.514,-0.736,-2.711
0.520,-6.240,22.699,97.219,-0.780,-2.689
0.525,-5.628,22.889,97.389,-0.824,-2.673
0.530,-4.926,23.110,98.107,-0.875,-2.691
0.535,-4.208,23.384,99.076,-0.929,-2.724
0.540,-3.493,23.719,100.145,-0.989,-2.713
0.545,-2.763,24.111,101.338,-1.046,-2.693
0.550,-1.975,24.509,102.544,-1.107,-2.663
0.555,-1.108,24.851,103.707,-1.168,-2.640
0.560,-0.170,25.135,104.825,-1.232,-2.640
0.565,0.831,25.403,105.829,-1.295,-2.649
0.570,1.899,25.696,106.507,-1.354,-2.646
0.575,3.007,26.043,106.847,-1.403,-2.630
0.580,4.066,26.433,106.909,-1.436,-2.601
0.585,4.970,26.809,106.560,-1.456,-2.562
0.590,5.673,27.138,105.825,-1.463,-2.530
0.595,6.237,27.414,104.861,-1.453,-2.530
0.600,6.741,27.615,103.592,-1.424,-2.489
0.605,7.204,27.736,102.209,-1.375,-2.403
0.610,7.534,27.808,100.916,-1.313,-2.295
0.615,7.649,27.906,99.791,-1.248,-2.193
0.620,7.592,28.148,98.885,-1.175,-2.144
0.625,7.496,28.606,98.473,-1.095,-2.094
0.630,7.453,29.243,98.778,-1.012,-1.981
0.635,7.467,29.970,99.675,-0.943,-1.856
0.640,7.504,30.750,101.217,-0.885,-1.848
0.645,7.597,31.583,103.362,-0.834,-1.902
0.650,7.808,32.498,105.874,-0.779,-1.908
0.655,8.122,33.524,108.729,-0.723,-1.840
0.660,8.403,34.632,112.040,-0.673,-1.734
0.665,8.543,35.785,115.763,-0.628,-1.673
0.670,8.601,36.985,119.886,-0.578,-1.703
0.675,8.694,38.297,124.479,-0.516,-1.769
0.680,8.858,39.789,129.321,-0.447,-1.790
0.685,8.979,41.510,134.110,-0.380,-1.784
0.690,8.900,43.465,138.894,-0.311,-1.780
0.695,8.582,45.606,143.787,-0.239,-1.754
0.700,8.142,47.877,148.786,-0.161,-1.720
0.705,7.734,50.289,153.806,-0.085,-1.734
0.710,7.420,52.890,158.731,-0.009,-1.808
0.715,7.172,55.668,163.431,0.070,-1.863
0.720,6.893,58.572,167.881,0.157,-1.839
0.725,6.440,61.560,172.202,0.248,-1.777
0.730,5.749,64.591,176.581,0.334,-1.735
0.735,4.886,67.629,181.231,0.419,-1.740
0.740,3.999,70.642,186.220,0.507,-1.778
0.745,3.191,73.623,191.408,0.602,-1.833
0.750,2.416,76.589,196.549,0.697,-1.893
0.755,1.519,79.562,201.391,0.790,-1.932
0.760,0.409,82.523,205.901,0.882,-1.933
0.765,-0.815,85.413,210.277,0.973,-1.905
