Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
51.076,0.262,0.175,35.731,0.183,0.135,1.429,5.750,195.000,58.728,-1.976,80.449,0.112,2.921,142.814,0.732,-225.105,1.154,0.175,2.365,3.313,0.080,-0.090,318.366,1.633,420.963,2.159,0.345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,1.484,-2.172,200.989,1.606,-10.655
0.005,1.090,-1.682,200.989,1.618,-10.523
0.010,1.345,-1.541,201.460,1.508,-10.440
0.015,1.507,-1.394,201.048,1.444,-10.394
0.020,1.393,-1.327,200.958,1.404,-10.329
0.025,1.641,-1.296,201.475,1.280,-10.318
0.030,1.724,-1.481,201.134,1.242,-10.328
0.035,1.545,-1.670,200.327,1.275,-10.358
0.040,1.631,-2.005,200.761,1.283,-10.433
0.045,1.627,-2.070,200.760,1.285,-10.450
0.050,1.611,-2.140,200.763,1.289,-10.468
0.055,1.580,-2.215,200.772,1.292,-10.486
0.060,1.545,-2.293,200.783,1.296,-10.507
0.065,1.525,-2.374,200.813,1.299,-10.529
0.070,1.518,-2.458,200.852,1.303,-10.549
0.075,1.521,-2.544,200.894,1.307,-10.569
0.080,1.513,-2.631,200.940,1.312,-10.591
0.085,1.493,-2.722,200.993,1.317,-10.614
0.090,1.471,-2.815,201.038,1.322,-10.639
0.095,1.467,-2.909,201.077,1.328,-10.668
0.100,1.484,-3.010,201.102,1.334,-10.699
0.105,1.512,-3.122,201.107,1.342,-10.732
0.110,1.539,-3.248,201.094,1.349,-10.770
0.115,1.561,-3.388,201.065,1.355,-10.815
0.120,1.589,-3.540,201.015,1.362,-10.862
0.125,1.634,-3.706,200.943,1.369,-10.911
0.130,1.703,-3.892,200.856,1.376,-10.965
0.135,1.773,-4.099,200.752,1.382,-11.025
0.140,1.824,-4.329,200.630,1.387,-11.093
0.145,1.844,-4.583,200.474,1.392,-11.165
0.150,1.845,-4.857,200.284,1.396,-11.242
0.155,1.842,-5.157,200.077,1.400,-11.324
0.160,1.848,-5.486,199.873,1.402,-11.412
0.165,1.865,-5.840,199.685,1.404,-11.505
0.170,1.880,-6.211,199.513,1.405,-11.605
0.175,1.893,-6.593,199.358,1.405,-11.709
0.180,1.906,-6.988,199.218,1.404,-11.812
0.185,1.932,-7.405,199.115,1.403,-11.916
0.190,1.978,-7.855,199.070,1.402,-12.021
0.195,2.022,-8.345,199.090,1.402,-12.125
0.200,2.042,-8.874,199.161,1.402,-12.233
0.205,2.023,-9.436,199.273,1.401,-12.342
0.210,1.986,-10.015,199.427,1.402,-12.448
0.215,1.954,-10.601,199.607,1.404,-12.547
0.220,1.937,-11.177,199.798,1.407,-12.640
0.225,1.917,-11.732,199.992,1.410,-12.730
0.230,1.874,-12.257,200.165,1.413,-12.817
0.235,1.823,-12.746,200.287,1.415,-12.905
0.240,1.797,-13.199,200.348,1.415,-12.992
0.245,1.825,-13.618,200.340,1.416,-13.072
0.250,1.889,-14.024,200.263,1.416,-13.145
0.255,1.955,-14.431,200.155,1.417,-13.219
0.260,1.991,-14.846,200.061,1.417,-13.293
0.265,2.005,-15.261,200.008,1.416,-13.366
0.270,2.029,-15.668,200.004,1.416,-13.426
0.275,2.090,-16.057,200.057,1.419,-13.470
0.280,2.176,-16.417,200.157,1.424,-13.503
0.285,2.263,-16.746,200.285,1.429,-13.526
0.290,2.344,-17.035,200.424,1.435,-13.535
0.295,2.435,-17.275,200.562,1.442,-13.523
0.300,2.574,-17.454,200.699,1.455,-13.487
0.305,2.751,-17.565,200.840,1.471,-13.431
0.310,2.932,-17.595,200.987,1.490,-13.371
0.315,3.073,-17.537,201.147,1.511,-13.307
0.320,3.166,-17.392,201.310,1.539,-13.222
0.325,3.242,-17.173,201.511,1.576,-13.112
0.330,3.304,-16.894,201.774,1.621,-12.984
0.335,3.336,-16.563,202.093,1.675,-12.851
0.340,3.296,-16.180,202.424,1.733,-12.712
0.345,3.198,-15.733,202.764,1.806,-12.555
0.350,3.059,-15.220,203.160,1.895,-12.365
0.355,2.875,-14.639,203.606,1.999,-12.150
0.360,2.613,-13.983,204.163,2.110,-11.923
0.365,2.261,-13.227,204.814,2.229,-11.676
0.370,1.860,-12.368,205.627,2.363,-11.398
0.375,1.436,-11.418,206.714,2.511,-11.093
0.380,0.995,-10.404,208.263,2.663,-10.790
0.385,0.518,-9.340,210.374,2.801,-10.495
0.390,0.057,-8.209,213.015,2.926,-10.201
0.395,-0.285,-7.012,216.220,3.039,-9.902
0.400,-0.399,-5.771,220.029,3.143,-9.608
0.405,-0.284,-4.556,224.444,3.222,-9.350
0.410,-0.022,-3.427,229.300,3.268,-9.141
0.415,0.351,-2.412,234.376,3.289,-8.947
0.420,0.869,-1.506,239.281,3.295,-8.724
0.425,1.593,-0.718,243.694,3.289,-8.493
0.430,2.522,-0.092,247.423,3.259,-8.263
0.435,3.612,0.343,250.275,3.211,-8.012
0.440,4.731,0.624,252.028,3.148,-7.732
0.445,5.793,0.888,252.530,3.070,-7.422
0.450,6.777,1.310,251.841,2.971,-7.054
0.455,7.705,2.031,250.061,2.847,-6.622
0.460,8.589,3.121,247.519,2.698,-6.163
0.465,9.413,4.499,244.576,2.510,-5.670
0.470,10.124,6.028,241.604,2.309,-5.156
0.475,10.633,7.615,238.875,2.081,-4.647
0.480,10.910,9.248,236.570,1.842,-4.149
0.485,10.917,10.936,234.884,1.605,-3.652
0.490,10.617,12.688,233.872,1.381,-3.181
0.495,9.969,14.476,233.624,1.172,-2.799
0.500,9.014,16.197,234.087,0.987,-2.506
0.505,7.948,17.756,235.190,0.846,-2.277
0.510,7.014,19.113,236.767,0.749,-2.106
0.515,6.331,20.251,238.592,0.686,-2.024
0.520,5.832,21.161,240.376,0.637,-1.997
0.525,5.429,21.875,241.807,0.612,-1.984
0.530,5.130,22.420,242.596,0.611,-1.992
0.535,5.070,22.816,242.611,0.627,-2.007
0.540,5.326,23.046,241.906,0.644,-2.012
0.545,5.722,23.134,240.451,0.660,-2.022
0.550,5.939,23.146,238.297,0.679,-2.053
0.555,5.782,23.134,235.483,0.703,-2.063
0.560,5.361,23.133,232.208,0.731,-2.048
0.565,4.940,23.122,228.728,0.754,-2.044
0.570,4.710,23.044,225.336,0.778,-2.055
0.575,4.606,22.829,222.240,0.801,-2.075
