Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
55.483,0.285,0.130,41.775,0.214,0.145,1.328,6.247,195.000,66.589,-2.835,91.217,-8.033,-58.447,163.010,0.836,-234.168,1.201,0.260,2.498,3.305,0.040,0.000,324.039,1.662,410.266,2.104,0.300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,3.366,-0.814,199.660,-3.581,-8.689
0.005,2.807,-0.452,200.191,-3.393,-8.520
0.010,2.423,-0.691,201.972,-3.307,-8.537
0.015,2.830,-0.721,199.830,-3.364,-8.642
0.020,2.780,-0.840,202.099,-3.400,-8.637
0.025,2.878,-0.739,199.527,-3.423,-8.684
0.030,5.177,-5.440,201.897,-4.043,-10.111
0.035,5.842,-12.982,204.529,-4.513,-12.070
0.040,5.549,-13.090,204.619,-4.475,-12.052
0.045,5.277,-13.135,204.738,-4.429,-12.025
0.050,4.955,-13.119,204.880,-4.375,-11.991
0.055,4.526,-13.040,205.015,-4.315,-11.948
0.060,4.033,-12.886,205.077,-4.253,-11.888
0.065,3.597,-12.640,205.054,-4.188,-11.803
0.070,3.289,-12.294,204.959,-4.118,-11.691
0.075,3.069,-11.848,204.806,-4.044,-11.564
0.080,2.830,-11.310,204.650,-3.967,-11.429
0.085,2.514,-10.672,204.493,-3.887,-11.281
0.090,2.157,-9.926,204.326,-3.802,-11.108
0.095,1.840,-9.065,204.135,-3.712,-10.908
0.100,1.588,-8.094,203.943,-3.619,-10.679
0.105,1.365,-7.030,203.795,-3.524,-10.423
0.110,1.109,-5.892,203.711,-3.425,-10.148
0.115,0.798,-4.701,203.750,-3.321,-9.857
0.120,0.466,-3.492,203.897,-3.214,-9.539
0.125,0.171,-2.343,204.113,-3.106,-9.192
0.130,-0.064,-1.312,204.358,-2.996,-8.824
0.135,-0.270,-0.329,204.578,-2.888,-8.438
0.140,-0.482,0.755,204.732,-2.783,-8.032
0.145,-0.731,2.044,204.793,-2.680,-7.611
0.150,-1.005,3.486,204.805,-2.579,-7.198
0.155,-1.280,4.904,204.745,-2.480,-6.800
0.160,-1.528,6.136,204.482,-2.382,-6.412
0.165,-1.740,7.167,203.884,-2.288,-6.024
0.170,-1.933,8.105,202.855,-2.195,-5.604
0.175,-2.131,9.011,201.399,-2.109,-5.166
0.180,-2.367,9.853,199.670,-2.022,-4.725
0.185,-2.654,10.572,197.887,-1.934,-4.309
0.190,-2.980,11.186,196.160,-1.848,-3.917
0.195,-3.304,11.800,194.508,-1.768,-3.533
0.200,-3.600,12.529,193.022,-1.696,-3.159
0.205,-3.858,13.402,191.819,-1.635,-2.802
0.210,-4.076,14.336,191.097,-1.587,-2.481
0.215,-4.247,15.199,191.020,-1.552,-2.229
0.220,-4.346,15.879,191.634,-1.528,-2.069
0.225,-4.352,16.344,192.801,-1.515,-1.971
0.230,-4.274,16.643,194.274,-1.515,-1.910
0.235,-4.158,16.860,195.830,-1.524,-1.873
0.240,-4.043,17.054,197.292,-1.539,-1.842
0.245,-3.946,17.230,198.580,-1.557,-1.817
0.250,-3.860,17.368,199.659,-1.575,-1.809
0.255,-3.775,17.440,200.479,-1.593,-1.826
0.260,-3.701,17.450,200.984,-1.611,-1.841
0.265,-3.648,17.433,201.125,-1.629,-1.842
0.270,-3.607,17.422,200.911,-1.647,-1.826
0.275,-3.556,17.413,200.471,-1.665,-1.793
0.280,-3.492,17.383,199.964,-1.684,-1.763
0.285,-3.425,17.322,199.544,-1.703,-1.754
0.290,-3.373,17.245,199.246,-1.719,-1.769
0.295,-3.340,17.176,199.040,-1.734,-1.789
0.300,-3.308,17.138,198.813,-1.748,-1.801
0.305,-3.263,17.116,198.495,-1.763,-1.801
0.310,-3.202,17.076,198.117,-1.776,-1.789
0.315,-3.151,16.992,197.713,-1.787,-1.772
0.320,-3.125,16.871,197.315,-1.794,-1.770
0.325,-3.129,16.749,196.987,-1.799,-1.783
0.330,-3.146,16.675,196.603,-1.803,-1.796
0.335,-3.155,16.678,196.151,-1.804,-1.801
0.340,-3.162,16.750,195.647,-1.805,-1.797
0.345,-3.181,16.859,195.055,-1.805,-1.779
0.350,-3.240,16.971,194.463,-1.806,-1.764
0.355,-3.323,17.070,193.917,-1.805,-1.767
