Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
53.846,0.276,0.110,41.011,0.210,0.135,1.313,6.062,195.000,69.278,-2.039,94.902,-4.862,-36.127,163.583,0.839,-253.483,1.300,0.265,2.489,3.474,0.045,-0.010,321.696,1.650,423.970,2.174,0.320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,3.014,-1.989,201.616,-1.841,-8.798
0.005,2.895,-1.831,201.792,-1.885,-8.801
0.010,3.634,-1.452,202.102,-2.015,-8.690
0.015,4.196,-1.273,201.862,-2.248,-8.704
0.020,4.098,-1.787,199.134,-2.237,-8.858
0.025,3.974,-1.964,202.030,-2.130,-8.919
0.030,3.553,-1.784,201.032,-2.004,-8.911
0.035,3.549,-1.986,199.585,-1.933,-9.061
0.040,3.465,-2.380,195.342,-1.896,-9.184
0.045,3.431,-2.387,194.519,-1.889,-9.192
0.050,3.383,-2.397,193.584,-1.880,-9.201
0.055,3.330,-2.412,192.545,-1.872,-9.209
0.060,3.281,-2.436,191.444,-1.864,-9.213
0.065,3.247,-2.468,190.368,-1.858,-9.217
0.070,3.226,-2.512,189.415,-1.852,-9.227
0.075,3.217,-2.571,188.627,-1.849,-9.240
0.080,3.229,-2.643,188.072,-1.850,-9.253
0.085,3.266,-2.725,187.832,-1.856,-9.268
0.090,3.333,-2.823,187.935,-1.865,-9.285
0.095,3.421,-2.939,188.405,-1.879,-9.306
0.100,3.523,-3.072,189.272,-1.898,-9.333
0.105,3.639,-3.220,190.522,-1.921,-9.361
0.110,3.771,-3.381,192.117,-1.949,-9.384
0.115,3.921,-3.545,194.060,-1.979,-9.407
0.120,4.077,-3.710,196.321,-2.011,-9.434
0.125,4.233,-3.874,198.846,-2.045,-9.460
0.130,4.389,-4.031,201.586,-2.079,-9.483
0.135,4.551,-4.180,204.499,-2.112,-9.507
0.140,4.722,-4.321,207.493,-2.143,-9.532
0.145,4.891,-4.458,210.481,-2.173,-9.554
0.150,5.049,-4.592,213.387,-2.201,-9.576
0.155,5.194,-4.729,216.112,-2.227,-9.600
0.160,5.325,-4.874,218.565,-2.249,-9.624
0.165,5.446,-5.027,220.661,-2.268,-9.651
0.170,5.546,-5.185,222.319,-2.284,-9.683
0.175,5.620,-5.339,223.435,-2.297,-9.715
0.180,5.660,-5.484,223.967,-2.308,-9.744
0.185,5.660,-5.619,223.898,-2.314,-9.773
0.190,5.618,-5.749,223.256,-2.318,-9.805
0.195,5.540,-5.877,222.086,-2.318,-9.838
