Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
50.030,0.257,0.160,39.703,0.204,0.150,1.260,5.633,195.000,63.853,-2.074,87.470,3.959,-52.893,162.339,0.833,-231.575,1.188,0.215,2.391,3.045,0.055,0.005,303.912,1.559,362.115,1.857,0.265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,2.769,-0.399,208.837,1.012,-8.632
0.005,1.684,-0.166,203.348,1.101,-8.555
0.010,2.770,-0.166,203.092,0.850,-8.679
0.015,2.661,-0.599,203.953,0.687,-8.737
0.020,2.749,-0.861,202.718,0.606,-8.747
0.025,2.824,-0.816,205.407,0.554,-8.700
0.030,2.909,-0.407,201.944,0.535,-8.614
0.035,2.414,-1.473,203.816,0.561,-8.842
0.040,3.210,-3.158,202.541,0.448,-9.308
0.045,3.317,-3.235,202.584,0.438,-9.346
0.050,3.406,-3.324,202.556,0.427,-9.390
0.055,3.487,-3.434,202.460,0.416,-9.434
0.060,3.565,-3.578,202.326,0.406,-9.477
0.065,3.642,-3.762,202.197,0.395,-9.522
0.070,3.715,-3.978,202.110,0.381,-9.571
0.075,3.789,-4.208,202.102,0.365,-9.622
0.080,3.869,-4.432,202.182,0.349,-9.669
0.085,3.956,-4.638,202.368,0.335,-9.710
0.090,4.037,-4.830,202.658,0.321,-9.747
0.095,4.103,-5.009,203.024,0.306,-9.785
0.100,4.166,-5.171,203.422,0.292,-9.821
0.105,4.244,-5.313,203.815,0.281,-9.854
0.110,4.341,-5.443,204.175,0.272,-9.876
0.115,4.432,-5.571,204.481,0.265,-9.891
0.120,4.486,-5.697,204.728,0.259,-9.903
0.125,4.500,-5.806,204.896,0.253,-9.913
0.130,4.517,-5.880,204.987,0.248,-9.915
0.135,4.580,-5.911,205.034,0.246,-9.904
0.140,4.685,-5.922,205.073,0.247,-9.885
0.145,4.772,-5.933,205.143,0.249,-9.869
0.150,4.801,-5.941,205.260,0.252,-9.852
0.155,4.794,-5.926,205.398,0.257,-9.826
0.160,4.840,-5.873,205.533,0.264,-9.785
0.165,5.003,-5.794,205.676,0.274,-9.727
0.170,5.254,-5.722,205.853,0.286,-9.660
0.175,5.498,-5.686,206.060,0.300,-9.595
0.180,5.688,-5.671,206.264,0.317,-9.531
0.185,5.872,-5.645,206.388,0.339,-9.457
0.190,6.119,-5.582,206.347,0.367,-9.372
0.195,6.423,-5.478,206.119,0.402,-9.277
0.200,6.682,-5.348,205.708,0.443,-9.179
0.205,6.805,-5.206,205.144,0.491,-9.085
