Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
49.803,0.255,0.130,36.620,0.188,0.155,1.360,5.607,195.000,62.963,-0.877,86.251,5.463,-22.997,156.055,0.800,-215.313,1.104,0.230,2.403,2.935,0.055,-0.025,312.627,1.603,357.045,1.831,0.310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,1.897,-2.147,203.844,-1.143,-9.981
0.005,2.010,-2.339,204.632,-1.140,-10.058
0.010,1.721,-2.278,203.494,-1.069,-10.052
0.015,1.847,-2.057,202.540,-1.009,-9.995
0.020,1.620,-2.054,203.429,-0.938,-9.963
0.025,1.466,-2.088,203.947,-0.837,-9.932
0.030,1.204,-1.855,203.821,-0.711,-9.823
0.035,1.040,-2.263,203.646,-0.636,-9.955
0.040,1.921,-4.420,201.804,-0.775,-10.568
0.045,1.906,-4.609,202.147,-0.778,-10.613
0.050,1.891,-4.816,202.525,-0.779,-10.661
0.055,1.861,-5.046,202.903,-0.782,-10.719
0.060,1.823,-5.295,203.263,-0.785,-10.789
0.065,1.806,-5.563,203.588,-0.790,-10.863
0.070,1.841,-5.854,203.881,-0.796,-10.941
0.075,1.927,-6.180,204.163,-0.802,-11.023
0.080,2.023,-6.542,204.451,-0.809,-11.111
0.085,2.092,-6.931,204.733,-0.817,-11.205
0.090,2.126,-7.326,204.989,-0.825,-11.301
0.095,2.155,-7.715,205.212,-0.832,-11.395
0.100,2.211,-8.096,205.389,-0.838,-11.482
0.105,2.289,-8.473,205.510,-0.843,-11.566
0.110,2.351,-8.846,205.566,-0.846,-11.649
0.115,2.359,-9.209,205.536,-0.850,-11.729
0.120,2.323,-9.557,205.409,-0.854,-11.803
0.125,2.278,-9.892,205.201,-0.857,-11.875
0.130,2.262,-10.223,204.955,-0.861,-11.949
0.135,2.279,-10.565,204.712,-0.866,-12.026
0.140,2.300,-10.927,204.495,-0.871,-12.102
0.145,2.298,-11.308,204.308,-0.877,-12.181
0.150,2.273,-11.703,204.154,-0.882,-12.260
0.155,2.256,-12.110,204.036,-0.888,-12.342
0.160,2.280,-12.527,203.961,-0.895,-12.425
0.165,2.360,-12.948,203.927,-0.901,-12.507
0.170,2.470,-13.370,203.904,-0.905,-12.582
0.175,2.561,-13.777,203.872,-0.909,-12.650
0.180,2.596,-14.163,203.832,-0.910,-12.718
0.185,2.583,-14.522,203.799,-0.911,-12.782
0.190,2.555,-14.852,203.777,-0.911,-12.837
0.195,2.539,-15.155,203.776,-0.909,-12.884
