Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
48.262,0.247,0.095,35.659,0.183,0.130,1.353,5.434,195.000,65.903,-2.357,90.279,0.188,-28.732,130.369,0.669,-242.676,1.244,0.275,2.199,3.559,0.045,0.005,298.346,1.530,451.382,2.315,0.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.672,2196.833,5.416,1.992,1694.963,5.621,39.507,-2.720,77.155,-0.894,1.000,17.323,8.859,207.030,2.974,0.190,-177.045,-41.850,2.000,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,0.010,-0.018,-0.009,-11.952,-54.229
0.005,0.502,-3.848,202.292,-1.103,-10.338
0.010,0.465,-3.709,203.115,-1.143,-10.303
0.015,0.339,-3.923,202.615,-1.116,-10.367
0.020,0.397,-3.703,202.966,-1.080,-10.237
0.025,0.061,-3.917,203.158,-1.002,-10.315
0.030,0.136,-3.810,202.113,-1.014,-10.271
0.035,0.275,-3.789,203.107,-1.012,-10.265
0.040,0.138,-4.632,203.180,-0.981,-10.432
0.045,0.160,-4.670,203.249,-0.980,-10.441
0.050,0.176,-4.703,203.298,-0.978,-10.448
0.055,0.171,-4.730,203.344,-0.977,-10.460
0.060,0.153,-4.752,203.386,-0.975,-10.473
0.065,0.139,-4.774,203.421,-0.973,-10.486
0.070,0.133,-4.799,203.467,-0.970,-10.501
0.075,0.120,-4.830,203.521,-0.966,-10.515
0.080,0.078,-4.868,203.561,-0.963,-10.529
0.085,0.018,-4.909,203.600,-0.960,-10.545
0.090,-0.036,-4.951,203.633,-0.957,-10.563
0.095,-0.059,-4.999,203.653,-0.954,-10.575
0.100,-0.061,-5.054,203.660,-0.951,-10.586
0.105,-0.057,-5.114,203.648,-0.949,-10.595
0.110,-0.050,-5.175,203.614,-0.947,-10.603
0.115,-0.033,-5.234,203.555,-0.946,-10.609
0.120,0.014,-5.287,203.490,-0.945,-10.614
0.125,0.084,-5.340,203.430,-0.944,-10.620
0.130,0.154,-5.399,203.370,-0.944,-10.628
0.135,0.206,-5.462,203.321,-0.942,-10.641
0.140,0.237,-5.534,203.272,-0.941,-10.658
0.145,0.255,-5.612,203.211,-0.939,-10.675
0.150,0.267,-5.697,203.144,-0.937,-10.694
0.155,0.266,-5.790,203.071,-0.933,-10.715
0.160,0.233,-5.888,202.994,-0.930,-10.737
0.165,0.175,-5.983,202.902,-0.925,-10.761
0.170,0.107,-6.074,202.802,-0.921,-10.784
0.175,0.050,-6.161,202.699,-0.917,-10.804
0.180,0.007,-6.243,202.583,-0.912,-10.822
0.185,-0.028,-6.317,202.473,-0.907,-10.840
0.190,-0.069,-6.385,202.363,-0.902,-10.859
0.195,-0.113,-6.445,202.240,-0.896,-10.875
