Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
49.117,0.252,0.120,39.363,0.202,0.140,1.248,5.530,195.000,67.378,-0.615,92.298,-1.060,-9.192,135.800,0.696,-244.032,1.251,0.275,2.269,3.447,0.050,-0.010,306.669,1.573,428.063,2.195,0.335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.311,2085.944,5.554,1.766,1804.580,5.890,30.104,-0.616,86.511,0.151,12.500,21.457,6.972,197.976,4.501,1.775,-100.292,27.508,30.000,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,3.323,-1.983,204.148,-0.425,-10.228
0.005,3.395,-2.162,203.918,-0.472,-10.167
0.010,3.241,-2.383,203.794,-0.434,-10.195
0.015,3.229,-2.440,202.737,-0.359,-10.216
0.020,2.997,-2.139,202.382,-0.282,-10.110
0.025,2.692,-2.246,202.629,-0.177,-10.084
0.030,2.902,-2.473,203.155,-0.172,-10.165
0.035,3.008,-2.961,202.686,-0.231,-10.303
0.040,3.394,-4.468,202.611,-0.257,-10.747
0.045,3.432,-4.611,202.649,-0.256,-10.788
0.050,3.442,-4.762,202.699,-0.254,-10.832
0.055,3.438,-4.917,202.754,-0.253,-10.878
0.060,3.446,-5.076,202.808,-0.251,-10.926
0.065,3.477,-5.244,202.856,-0.249,-10.972
0.070,3.521,-5.422,202.896,-0.246,-11.018
0.075,3.552,-5.610,202.911,-0.243,-11.066
0.080,3.574,-5.803,202.884,-0.241,-11.117
0.085,3.604,-5.999,202.796,-0.239,-11.172
0.090,3.662,-6.194,202.623,-0.237,-11.228
0.095,3.745,-6.397,202.376,-0.234,-11.288
0.100,3.830,-6.619,202.073,-0.231,-11.351
0.105,3.891,-6.867,201.743,-0.227,-11.419
0.110,3.920,-7.137,201.400,-0.223,-11.498
0.115,3.930,-7.417,201.072,-0.219,-11.580
0.120,3.923,-7.703,200.771,-0.214,-11.659
0.125,3.890,-7.994,200.524,-0.208,-11.735
0.130,3.820,-8.302,200.384,-0.202,-11.815
0.135,3.721,-8.643,200.382,-0.196,-11.899
0.140,3.614,-9.026,200.525,-0.191,-11.990
0.145,3.527,-9.449,200.790,-0.188,-12.085
0.150,3.469,-9.908,201.149,-0.185,-12.181
0.155,3.433,-10.404,201.543,-0.186,-12.275
0.160,3.427,-10.930,201.952,-0.189,-12.371
0.165,3.470,-11.487,202.365,-0.194,-12.474
0.170,3.575,-12.071,202.744,-0.202,-12.582
0.175,3.730,-12.673,203.042,-0.213,-12.693
0.180,3.914,-13.284,203.213,-0.225,-12.807
0.185,4.105,-13.898,203.212,-0.238,-12.924
0.190,4.311,-14.519,203.024,-0.253,-13.040
0.195,4.550,-15.143,202.675,-0.267,-13.157
0.200,4.815,-15.768,202.203,-0.279,-13.276
0.205,5.058,-16.382,201.665,-0.289,-13.392
0.210,5.212,-16.965,201.110,-0.297,-13.502
0.215,5.234,-17.497,200.587,-0.302,-13.607
0.220,5.133,-17.969,200.145,-0.304,-13.706
0.225,4.961,-18.394,199.856,-0.304,-13.791
0.230,4.766,-18.790,199.760,-0.301,-13.859
0.235,4.538,-19.175,199.873,-0.296,-13.918
0.240,4.255,-19.550,200.180,-0.292,-13.966
0.245,3.941,-19.908,200.643,-0.289,-13.997
0.250,3.667,-20.237,201.227,-0.288,-14.017
