Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
50.497,0.259,0.105,38.766,0.199,0.150,1.303,5.685,195.000,66.463,-1.542,91.045,-3.536,-38.574,133.284,0.684,-239.295,1.227,0.270,2.244,3.504,0.065,0.000,304.226,1.560,443.929,2.277,0.335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.345,2177.111,5.475,1.840,1742.663,5.378,36.827,-2.372,80.045,-0.641,12.250,15.299,2.432,189.008,2.986,-0.182,-190.599,-75.598,2.000,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,1.126,-18.424,204.310,-0.088,-14.651
0.005,1.739,-20.897,199.814,-0.023,-15.217
0.010,-1.683,-5.593,208.831,0.394,-9.859
0.015,-2.189,15.807,202.937,0.151,-2.434
0.020,1.596,13.030,191.432,-0.071,-2.815
0.025,-0.215,-1.548,203.242,0.049,-7.823
0.030,0.279,-5.945,203.269,0.099,-10.824
0.035,-0.832,-8.141,200.407,0.260,-11.888
0.040,-0.666,-8.003,200.427,0.245,-11.859
0.045,-0.599,-7.920,200.546,0.239,-11.851
0.050,-0.544,-7.819,200.706,0.233,-11.845
0.055,-0.507,-7.705,200.869,0.229,-11.838
0.060,-0.484,-7.585,201.002,0.226,-11.829
0.065,-0.476,-7.468,201.101,0.222,-11.820
0.070,-0.463,-7.359,201.177,0.219,-11.811
0.075,-0.433,-7.261,201.247,0.216,-11.803
0.080,-0.378,-7.168,201.312,0.213,-11.798
0.085,-0.318,-7.071,201.366,0.210,-11.792
0.090,-0.276,-6.968,201.385,0.207,-11.783
0.095,-0.254,-6.855,201.357,0.204,-11.768
0.100,-0.242,-6.738,201.295,0.202,-11.749
0.105,-0.221,-6.627,201.218,0.201,-11.729
0.110,-0.198,-6.521,201.124,0.200,-11.709
0.115,-0.183,-6.417,201.007,0.201,-11.691
0.120,-0.190,-6.307,200.853,0.202,-11.671
0.125,-0.216,-6.196,200.645,0.204,-11.648
0.130,-0.249,-6.091,200.402,0.206,-11.624
0.135,-0.274,-6.001,200.168,0.209,-11.606
0.140,-0.280,-5.933,199.984,0.211,-11.595
0.145,-0.263,-5.884,199.873,0.212,-11.591
0.150,-0.231,-5.845,199.839,0.213,-11.594
0.155,-0.200,-5.807,199.870,0.214,-11.599
0.160,-0.180,-5.768,199.951,0.214,-11.602
0.165,-0.165,-5.723,200.079,0.213,-11.605
0.170,-0.140,-5.672,200.270,0.210,-11.608
0.175,-0.091,-5.619,200.513,0.208,-11.608
0.180,-0.036,-5.563,200.794,0.207,-11.602
0.185,-0.011,-5.505,201.095,0.206,-11.594
0.190,-0.035,-5.447,201.412,0.206,-11.581
0.195,-0.089,-5.388,201.742,0.206,-11.565
