Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
47.770,0.245,0.095,37.951,0.195,0.145,1.259,5.378,195.000,66.142,-2.398,90.605,4.151,-29.348,131.392,0.674,-239.600,1.229,0.265,2.212,3.469,0.055,0.000,299.954,1.538,436.898,2.241,0.320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.271,2133.932,5.500,1.988,1829.214,5.521,30.996,-1.588,85.720,0.376,12.500,16.826,5.462,197.947,4.098,0.958,-139.738,-22.360,30.000,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,1.077,-5.088,204.485,-0.173,-10.487
0.005,2.099,-4.366,203.381,-0.365,-10.251
0.010,1.926,-4.073,203.233,-0.396,-10.188
0.015,2.196,-4.184,203.121,-0.393,-10.188
0.020,2.141,-3.795,202.959,-0.354,-10.024
0.025,2.144,-3.790,203.106,-0.342,-10.020
0.030,2.330,-4.036,203.027,-0.365,-10.075
0.035,2.403,-5.665,202.695,-0.308,-10.484
0.040,2.821,-10.780,202.418,-0.260,-11.762
0.045,2.793,-11.043,202.444,-0.254,-11.830
0.050,2.728,-11.330,202.450,-0.245,-11.898
0.055,2.626,-11.647,202.459,-0.236,-11.970
0.060,2.495,-11.996,202.468,-0.228,-12.049
0.065,2.367,-12.385,202.445,-0.220,-12.126
0.070,2.255,-12.801,202.370,-0.215,-12.205
0.075,2.169,-13.247,202.259,-0.212,-12.283
0.080,2.104,-13.721,202.142,-0.210,-12.358
0.085,2.065,-14.223,202.014,-0.210,-12.426
0.090,2.070,-14.731,201.908,-0.214,-12.493
0.095,2.132,-15.233,201.861,-0.218,-12.556
0.100,2.244,-15.718,201.861,-0.221,-12.612
0.105,2.367,-16.172,201.924,-0.225,-12.670
0.110,2.487,-16.591,202.060,-0.228,-12.725
0.115,2.600,-16.979,202.223,-0.230,-12.770
0.120,2.717,-17.343,202.401,-0.229,-12.810
0.125,2.826,-17.686,202.583,-0.226,-12.854
0.130,2.908,-18.006,202.765,-0.222,-12.900
0.135,2.945,-18.298,202.889,-0.217,-12.939
0.140,2.934,-18.553,202.962,-0.211,-12.971
0.145,2.902,-18.770,202.975,-0.204,-12.994
0.150,2.857,-18.955,202.952,-0.196,-13.008
0.155,2.810,-19.110,202.928,-0.191,-13.019
0.160,2.753,-19.235,202.953,-0.186,-13.025
0.165,2.691,-19.315,203.025,-0.180,-13.017
0.170,2.634,-19.338,203.134,-0.177,-12.988
0.175,2.610,-19.298,203.319,-0.174,-12.946
0.180,2.635,-19.205,203.562,-0.168,-12.895
0.185,2.694,-19.082,203.870,-0.163,-12.836
0.190,2.770,-18.950,204.217,-0.156,-12.771
0.195,2.856,-18.817,204.596,-0.147,-12.698
