Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
51.044,0.262,0.100,38.511,0.197,0.135,1.325,5.747,195.000,66.944,-2.713,91.704,2.776,-32.821,129.488,0.664,-247.387,1.269,0.275,2.176,3.569,0.040,0.000,294.835,1.512,448.626,2.301,0.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.202,2200.396,5.489,2.007,1723.224,5.621,38.451,0.111,78.314,-1.039,1.250,14.105,10.909,217.662,2.638,3.019,-206.087,84.463,NaN,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,-0.177,-1.699,202.952,0.739,-10.236
0.005,0.053,-1.701,203.460,0.793,-10.283
0.010,-0.182,-1.714,202.725,0.873,-10.278
0.015,-0.386,-1.722,203.573,0.916,-10.253
0.020,-0.154,-1.708,203.535,0.892,-10.254
0.025,-0.071,-1.538,202.700,0.883,-10.153
0.030,-0.208,-1.561,203.201,0.868,-10.095
0.035,0.023,-1.956,203.175,0.810,-10.279
0.040,0.610,-6.615,201.946,0.760,-11.763
0.045,0.604,-7.082,201.833,0.754,-11.875
0.050,0.591,-7.584,201.712,0.747,-11.989
0.055,0.591,-8.103,201.598,0.737,-12.101
0.060,0.620,-8.625,201.496,0.724,-12.205
0.065,0.685,-9.136,201.411,0.709,-12.298
0.070,0.785,-9.622,201.363,0.691,-12.392
0.075,0.910,-10.080,201.367,0.670,-12.486
0.080,1.064,-10.513,201.419,0.645,-12.574
0.085,1.254,-10.927,201.512,0.619,-12.658
0.090,1.485,-11.339,201.670,0.591,-12.739
0.095,1.749,-11.773,201.879,0.565,-12.816
0.100,2.011,-12.248,202.150,0.541,-12.898
0.105,2.240,-12.768,202.476,0.517,-12.994
0.110,2.425,-13.327,202.820,0.496,-13.097
0.115,2.587,-13.911,203.127,0.480,-13.199
0.120,2.734,-14.506,203.355,0.468,-13.295
0.125,2.840,-15.096,203.487,0.459,-13.388
0.130,2.864,-15.669,203.509,0.453,-13.477
0.135,2.783,-16.211,203.455,0.448,-13.564
0.140,2.626,-16.707,203.349,0.444,-13.647
0.145,2.450,-17.148,203.186,0.440,-13.717
0.150,2.290,-17.529,202.977,0.436,-13.769
0.155,2.145,-17.856,202.768,0.429,-13.803
0.160,1.994,-18.131,202.601,0.421,-13.822
0.165,1.840,-18.355,202.518,0.411,-13.829
0.170,1.729,-18.516,202.568,0.397,-13.820
0.175,1.714,-18.603,202.770,0.383,-13.795
0.180,1.822,-18.616,203.111,0.370,-13.753
0.185,2.019,-18.564,203.585,0.357,-13.695
0.190,2.258,-18.447,204.180,0.346,-13.626
0.195,2.510,-18.255,204.843,0.337,-13.540
0.200,2.779,-17.995,205.533,0.332,-13.436
0.205,3.087,-17.676,206.208,0.332,-13.317
