Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
47.454,0.243,0.100,36.410,0.187,0.105,1.303,5.343,195.000,66.898,-1.969,91.641,0.453,-28.565,127.319,0.653,-248.905,1.276,0.280,2.230,3.448,0.065,-0.005,307.562,1.577,423.534,2.172,0.350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.554,2165.788,5.494,1.920,1690.726,5.553,38.680,-2.533,78.065,-0.241,12.750,19.204,6.945,199.835,3.738,0.131,-144.301,-48.697,11.000,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,1.151,-3.214,199.646,0.727,-9.758
0.005,1.981,-3.014,204.024,0.484,-9.467
0.010,1.484,-2.715,200.986,0.514,-9.336
0.015,1.684,-3.088,204.576,0.475,-9.386
0.020,1.393,-3.171,202.465,0.508,-9.426
0.025,1.667,-3.129,203.025,0.467,-9.370
0.030,1.543,-3.109,203.248,0.465,-9.314
0.035,1.567,-3.649,203.350,0.472,-9.419
0.040,1.939,-7.715,201.219,0.502,-10.577
0.045,1.968,-8.116,201.142,0.502,-10.667
0.050,1.981,-8.539,201.001,0.502,-10.756
0.055,1.980,-8.972,200.970,0.504,-10.859
0.060,1.982,-9.435,200.897,0.506,-10.956
0.065,1.976,-9.924,200.815,0.508,-11.045
0.070,1.966,-10.417,200.768,0.511,-11.145
0.075,1.938,-10.912,200.744,0.514,-11.246
0.080,1.887,-11.417,200.680,0.518,-11.339
0.085,1.824,-11.928,200.615,0.521,-11.439
0.090,1.770,-12.446,200.632,0.525,-11.549
0.095,1.740,-12.985,200.618,0.527,-11.646
0.100,1.718,-13.528,200.589,0.529,-11.738
0.105,1.700,-14.055,200.560,0.529,-11.836
0.110,1.670,-14.557,200.504,0.528,-11.926
0.115,1.651,-15.033,200.404,0.525,-12.003
0.120,1.676,-15.476,200.357,0.519,-12.079
0.125,1.752,-15.887,200.393,0.511,-12.152
0.130,1.849,-16.275,200.463,0.502,-12.208
0.135,1.921,-16.624,200.615,0.492,-12.257
0.140,1.949,-16.931,200.870,0.480,-12.303
0.145,1.957,-17.205,201.229,0.468,-12.341
0.150,1.988,-17.463,201.683,0.458,-12.366
0.155,2.054,-17.711,202.256,0.449,-12.388
0.160,2.120,-17.954,202.890,0.441,-12.402
0.165,2.143,-18.191,203.488,0.435,-12.400
0.170,2.119,-18.397,204.087,0.432,-12.392
0.175,2.096,-18.565,204.669,0.429,-12.378
0.180,2.129,-18.691,205.194,0.429,-12.355
0.185,2.220,-18.779,205.662,0.430,-12.327
0.190,2.315,-18.827,206.071,0.433,-12.297
0.195,2.348,-18.839,206.376,0.439,-12.254
0.200,2.311,-18.805,206.558,0.445,-12.198
0.205,2.266,-18.712,206.674,0.453,-12.135
0.210,2.309,-18.573,206.722,0.461,-12.060
0.215,2.458,-18.412,206.749,0.473,-11.968
0.220,2.658,-18.238,206.814,0.486,-11.865
0.225,2.827,-18.047,206.916,0.502,-11.751
0.230,2.954,-17.821,206.982,0.517,-11.617
0.235,3.120,-17.535,206.994,0.535,-11.463
0.240,3.394,-17.175,206.995,0.560,-11.288
0.245,3.750,-16.743,207.010,0.592,-11.088
0.250,4.052,-16.218,207.061,0.630,-10.874
0.255,4.192,-15.575,207.101,0.673,-10.659
0.260,4.169,-14.789,207.049,0.724,-10.427
