Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
47.877,0.246,0.100,36.824,0.189,0.150,1.300,5.390,195.000,65.345,-1.556,89.514,0.062,-24.003,123.949,0.636,-228.511,1.172,0.265,2.144,3.354,0.065,-0.005,294.130,1.508,425.557,2.182,0.335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.793,2157.812,5.443,1.849,1762.753,5.693,35.223,-4.838,81.692,-0.279,12.750,17.543,6.545,200.363,3.527,-2.125,-156.985,-142.440,40.000,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,0.531,-3.951,204.219,0.139,-10.885
0.005,0.074,-3.496,202.537,0.182,-10.717
0.010,-0.083,-3.359,203.416,0.187,-10.545
0.015,-0.257,-3.342,203.056,0.192,-10.498
0.020,-0.123,-3.373,203.212,0.163,-10.440
0.025,-0.091,-3.280,203.531,0.120,-10.368
0.030,0.178,-3.473,203.124,0.070,-10.333
0.035,0.098,-3.705,202.868,0.057,-10.380
0.040,0.262,-4.002,203.000,0.043,-10.450
0.045,0.238,-4.028,203.006,0.044,-10.458
0.050,0.201,-4.045,203.014,0.046,-10.466
0.055,0.158,-4.056,203.013,0.049,-10.473
0.060,0.114,-4.062,203.013,0.051,-10.478
0.065,0.071,-4.065,203.009,0.053,-10.481
0.070,0.032,-4.069,203.006,0.055,-10.485
0.075,-0.002,-4.077,203.009,0.057,-10.488
0.080,-0.032,-4.092,203.017,0.059,-10.493
0.085,-0.059,-4.113,203.020,0.060,-10.500
0.090,-0.074,-4.142,203.017,0.061,-10.508
0.095,-0.073,-4.181,203.024,0.063,-10.516
0.100,-0.065,-4.230,203.042,0.065,-10.529
0.105,-0.058,-4.292,203.078,0.066,-10.548
0.110,-0.056,-4.363,203.125,0.067,-10.570
0.115,-0.058,-4.439,203.162,0.068,-10.594
0.120,-0.056,-4.519,203.175,0.069,-10.619
0.125,-0.046,-4.599,203.167,0.071,-10.641
0.130,-0.033,-4.680,203.137,0.072,-10.664
0.135,-0.028,-4.765,203.090,0.073,-10.688
0.140,-0.033,-4.855,203.032,0.074,-10.714
0.145,-0.039,-4.953,202.967,0.074,-10.739
0.150,-0.034,-5.056,202.893,0.074,-10.767
0.155,-0.012,-5.167,202.812,0.074,-10.795
0.160,0.021,-5.288,202.736,0.073,-10.824
0.165,0.056,-5.422,202.672,0.072,-10.856
0.170,0.082,-5.574,202.630,0.070,-10.894
0.175,0.104,-5.741,202.606,0.068,-10.938
0.180,0.131,-5.922,202.581,0.066,-10.986
0.185,0.169,-6.115,202.540,0.064,-11.039
0.190,0.206,-6.326,202.476,0.062,-11.095
0.195,0.231,-6.564,202.398,0.061,-11.154
0.200,0.237,-6.839,202.347,0.059,-11.220
0.205,0.230,-7.152,202.285,0.057,-11.294
0.210,0.222,-7.497,202.234,0.055,-11.376
0.215,0.224,-7.862,202.167,0.052,-11.465
0.220,0.238,-8.251,202.058,0.048,-11.553
0.225,0.254,-8.664,201.905,0.042,-11.650
0.230,0.266,-9.109,201.717,0.034,-11.755
0.235,0.288,-9.595,201.519,0.023,-11.869
0.240,0.347,-10.126,201.267,0.009,-11.988
0.245,0.454,-10.697,201.035,-0.009,-12.115
0.250,0.604,-11.303,200.767,-0.030,-12.244
0.255,0.777,-11.935,200.515,-0.054,-12.369
0.260,0.963,-12.575,200.306,-0.079,-12.497
0.265,1.157,-13.214,200.188,-0.106,-12.621
0.270,1.358,-13.841,200.167,-0.132,-12.741
0.275,1.547,-14.442,200.203,-0.158,-12.859
0.280,1.693,-15.004,200.337,-0.183,-12.972
0.285,1.779,-15.522,200.469,-0.205,-13.074
0.290,1.810,-16.008,200.667,-0.226,-13.167
0.295,1.817,-16.474,200.886,-0.246,-13.258
0.300,1.816,-16.936,201.165,-0.265,-13.347
0.305,1.828,-17.402,201.444,-0.282,-13.432
0.310,1.842,-17.870,201.691,-0.300,-13.510
0.315,1.871,-18.326,201.924,-0.319,-13.581
0.320,1.935,-18.763,202.055,-0.339,-13.638
0.325,2.063,-19.172,202.211,-0.359,-13.689
0.330,2.263,-19.549,202.340,-0.380,-13.741
0.335,2.490,-19.894,202.492,-0.405,-13.786
0.340,2.703,-20.205,202.601,-0.429,-13.820
0.345,2.862,-20.481,202.749,-0.453,-13.839
0.350,2.985,-20.728,202.895,-0.474,-13.847
0.355,3.096,-20.955,203.182,-0.496,-13.853
0.360,3.206,-21.160,203.571,-0.514,-13.857
0.365,3.290,-21.348,204.074,-0.531,-13.853
0.370,3.312,-21.509,204.703,-0.542,-13.838
0.375,3.283,-21.643,205.306,-0.548,-13.805
0.380,3.247,-21.742,206.040,-0.549,-13.768
0.385,3.259,-21.823,206.772,-0.546,-13.715
0.390,3.328,-21.890,207.509,-0.539,-13.650
0.395,3.436,-21.940,208.191,-0.524,-13.573
0.400,3.542,-21.965,208.881,-0.503,-13.474
0.405,3.645,-21.938,209.442,-0.476,-13.360
0.410,3.765,-21.843,209.931,-0.445,-13.225
0.415,3.891,-21.660,210.454,-0.404,-13.081
0.420,3.980,-21.417,210.835,-0.357,-12.918
0.425,3.993,-21.098,211.080,-0.302,-12.750
0.430,3.957,-20.680,211.265,-0.240,-12.578
0.435,3.899,-20.176,211.241,-0.166,-12.377
0.440,3.811,-19.581,210.946,-0.082,-12.164
0.445,3.636,-18.885,210.478,0.010,-11.952
0.450,3.376,-18.090,209.776,0.114,-11.724
0.455,3.086,-17.201,208.894,0.233,-11.469
0.460,2.793,-16.203,207.941,0.374,-11.195
0.465,2.413,-15.111,207.048,0.530,-10.927
0.470,1.810,-13.948,206.172,0.698,-10.651
0.475,0.981,-12.708,205.262,0.873,-10.365
0.480,0.086,-11.421,204.536,1.060,-10.063
0.485,-0.702,-10.139,204.047,1.257,-9.711
0.490,-1.412,-8.914,204.025,1.453,-9.365
0.495,-2.181,-7.739,204.661,1.632,-9.059
0.500,-3.045,-6.573,206.066,1.790,-8.791
0.505,-3.841,-5.414,208.232,1.927,-8.524
0.510,-4.331,-4.314,211.107,2.044,-8.253
0.515,-4.428,-3.380,214.852,2.131,-8.028
0.520,-4.235,-2.608,219.237,2.189,-7.835
0.525,-3.939,-1.932,224.028,2.226,-7.684
0.530,-3.624,-1.277,228.932,2.244,-7.555
0.535,-3.229,-0.669,233.629,2.250,-7.421
0.540,-2.663,-0.181,237.777,2.244,-7.265
0.545,-1.884,0.157,241.074,2.228,-7.094
0.550,-0.953,0.389,243.564,2.196,-6.935
0.555,0.023,0.634,244.952,2.154,-6.732
0.560,0.953,0.947,245.260,2.096,-6.486
0.565,1.838,1.357,244.673,2.017,-6.217
0.570,2.760,1.880,243.166,1.919,-5.907
0.575,3.740,2.546,241.022,1.790,-5.556
0.580,4.728,3.378,238.465,1.638,-5.194
0.585,5.612,4.402,235.518,1.464,-4.813
0.590,6.311,5.609,232.562,1.273,-4.396
0.595,6.782,6.966,229.715,1.065,-3.949
0.600,7.029,8.421,227.168,0.846,-3.512
0.605,7.083,9.920,225.186,0.628,-3.113
0.610,6.947,11.424,224.112,0.417,-2.760
0.615,6.630,12.906,223.492,0.219,-2.446
0.620,6.115,14.361,223.364,0.038,-2.184
0.625,5.414,15.710,223.926,-0.114,-1.956
0.630,4.640,16.817,224.684,-0.230,-1.727
0.635,3.978,17.658,225.957,-0.311,-1.582
0.640,3.505,18.272,227.788,-0.370,-1.559
0.645,3.173,18.709,229.656,-0.413,-1.558
0.650,2.896,19.053,231.099,-0.434,-1.535
0.655,2.636,19.398,232.286,-0.433,-1.546
0.660,2.468,19.696,232.835,-0.421,-1.522
0.665,2.483,19.913,232.742,-0.410,-1.482
0.670,2.624,20.100,232.419,-0.399,-1.502
0.675,2.702,20.254,231.648,-0.386,-1.541
0.680,2.605,20.399,230.222,-0.366,-1.522
0.685,2.386,20.576,228.499,-0.350,-1.495
0.690,2.176,20.757,226.440,-0.335,-1.493
0.695,2.105,20.861,224.068,-0.320,-1.458
0.700,2.150,20.868,221.834,-0.303,-1.436
0.705,2.193,20.797,219.736,-0.287,-1.457
0.710,2.107,20.685,217.540,-0.273,-1.477
0.715,1.873,20.622,215.293,-0.253,-1.483
0.720,1.582,20.641,212.991,-0.234,-1.487
0.725,1.342,20.709,210.450,-0.210,-1.475
0.730,1.185,20.766,207.961,-0.188,-1.449
0.735,1.015,20.761,205.703,-0.162,-1.428
0.740,0.751,20.686,203.539,-0.133,-1.430
0.745,0.379,20.596,201.642,-0.103,-1.452
0.750,-0.004,20.560,199.913,-0.078,-1.458
0.755,-0.300,20.603,198.288,-0.058,-1.452
0.760,-0.471,20.695,196.918,-0.039,-1.431
0.765,-0.595,20.772,195.743,-0.022,-1.414
0.770,-0.745,20.783,194.837,-0.014,-1.419
0.775,-0.940,20.736,194.096,-0.010,-1.452
0.780,-1.127,20.666,193.429,-0.011,-1.489
0.785,-1.241,20.596,192.639,-0.013,-1.487
0.790,-1.275,20.564,191.672,-0.020,-1.487
0.795,-1.275,20.534,190.574,-0.031,-1.485
0.800,-1.318,20.451,189.262,-0.041,-1.482
0.805,-1.428,20.296,187.866,-0.053,-1.496
0.810,-1.562,20.078,186.368,-0.064,-1.517
0.815,-1.657,19.837,184.732,-0.081,-1.534
0.820,-1.684,19.633,182.882,-0.097,-1.526
0.825,-1.673,19.498,180.841,-0.110,-1.531
0.830,-1.690,19.410,178.695,-0.122,-1.542
0.835,-1.763,19.332,176.427,-0.135,-1.520
0.840,-1.872,19.275,174.226,-0.150,-1.513
0.845,-1.958,19.257,172.095,-0.161,-1.507
0.850,-1.997,19.304,169.994,-0.169,-1.511
0.855,-2.007,19.419,167.890,-0.175,-1.512
0.860,-2.038,19.600,165.803,-0.180,-1.513
0.865,-2.143,19.812,163.710,-0.182,-1.511
0.870,-2.318,20.006,161.500,-0.180,-1.477
0.875,-2.521,20.166,159.315,-0.174,-1.486
0.880,-2.711,20.267,157.037,-0.166,-1.492
0.885,-2.904,20.318,154.643,-0.154,-1.491
0.890,-3.151,20.340,152.070,-0.138,-1.499
0.895,-3.485,20.338,149.306,-0.117,-1.497
0.900,-3.905,20.299,146.427,-0.094,-1.494
0.905,-4.350,20.218,143.388,-0.072,-1.453
0.910,-4.756,20.127,140.450,-0.049,-1.446
0.915,-5.082,20.037,137.562,-0.026,-1.450
0.920,-5.332,19.965,134.638,-0.006,-1.454
0.925,-5.522,19.931,131.756,0.010,-1.485
0.930,-5.645,19.941,128.843,0.019,-1.483
0.935,-5.694,19.983,125.911,0.027,-1.449
0.940,-5.622,20.116,120.207,0.034,-1.403
0.945,-5.626,20.201,117.587,0.031,-1.401
0.950,-5.707,20.312,115.133,0.028,-1.379
0.955,-5.805,20.478,112.987,0.025,-1.370
0.960,-5.848,20.672,111.106,0.022,-1.343
0.965,-5.821,20.853,109.497,0.016,-1.311
0.970,-5.752,21.011,108.210,0.004,-1.307
0.975,-5.659,21.168,107.208,-0.008,-1.320
0.980,-5.508,21.350,106.392,-0.018,-1.305
0.985,-5.268,21.570,105.754,-0.024,-1.266
0.990,-4.975,21.823,105.254,-0.032,-1.243
0.995,-4.718,22.093,104.796,-0.041,-1.233
1.000,-4.536,22.391,104.354,-0.050,-1.223
1.005,-4.378,22.721,104.008,-0.054,-1.200
1.010,-4.162,23.053,103.719,-0.057,-1.159
1.015,-3.863,23.346,103.487,-0.061,-1.119
1.020,-3.515,23.583,103.374,-0.068,-1.125
1.025,-3.150,23.780,103.242,-0.074,-1.164
1.030,-2.758,23.978,103.046,-0.074,-1.182
1.035,-2.351,24.206,102.895,-0.065,-1.144
1.040,-2.032,24.456,102.863,-0.050,-1.060
1.045,-1.885,24.727,102.976,-0.032,-1.011
1.050,-1.884,25.039,103.356,-0.014,-1.036
1.055,-1.892,25.407,104.086,0.010,-1.093
1.060,-1.798,25.814,105.037,0.037,-1.114
1.065,-1.619,26.239,106.149,0.062,-1.113
1.070,-1.462,26.657,107.410,0.079,-1.128
1.075,-1.382,27.034,108.693,0.089,-1.149
1.080,-1.287,27.371,109.968,0.098,-1.185
1.085,-1.075,27.707,111.287,0.108,-1.216
1.090,-0.755,28.068,112.612,0.117,-1.212
1.095,-0.456,28.469,113.890,0.127,-1.196
1.100,-0.298,28.930,115.184,0.137,-1.211
1.105,-0.272,29.456,116.630,0.148,-1.238
1.110,-0.277,30.050,118.315,0.161,-1.222
1.115,-0.241,30.737,120.380,0.176,-1.186
1.120,-0.197,31.540,122.925,0.185,-1.187
1.125,-0.205,32.472,125.959,0.184,-1.226
1.130,-0.274,33.560,129.555,0.172,-1.274
1.135,-0.330,34.840,133.735,0.151,-1.310
1.140,-0.275,36.332,138.436,0.121,-1.336
1.145,-0.077,38.038,143.591,0.083,-1.373
1.150,0.225,39.909,149.163,0.036,-1.436
1.155,0.583,41.893,155.080,-0.018,-1.508
1.160,0.994,43.970,161.312,-0.073,-1.553
1.165,1.457,46.129,167.834,-0.122,-1.572
1.170,1.938,48.383,174.474,-0.162,-1.605
1.175,2.387,50.745,181.072,-0.195,-1.670
1.180,2.769,53.209,187.693,-0.219,-1.733
1.185,3.063,55.741,194.346,-0.232,-1.749
1.190,3.239,58.324,200.956,-0.232,-1.740
1.195,3.278,60.947,207.572,-0.221,-1.761
1.200,3.204,63.594,214.139,-0.204,-1.819
1.205,3.086,66.266,220.471,-0.177,-1.887
1.210,2.994,68.950,226.487,-0.141,-1.938
1.215,2.899,71.602,232.132,-0.092,-1.959
1.220,2.668,74.172,237.206,-0.036,-1.969
1.225,2.176,76.626,241.679,0.027,-2.001
1.230,1.432,78.957,245.659,0.096,-2.049
1.235,0.614,81.154,249.073,0.168,-2.088
1.240,-0.081,83.174,251.907,0.243,-2.116
1.245,-0.585,84.950,254.307,0.317,-2.140
1.250,-0.999,86.404,256.383,0.386,-2.158
1.255,-1.449,87.519,258.308,0.447,-2.174
1.260,-1.917,88.363,260.351,0.497,-2.193
1.265,-2.215,89.041,262.697,0.535,-2.217
1.270,-2.157,89.661,265.304,0.565,-2.253
1.275,-1.778,90.318,268.142,0.590,-2.307
1.280,-1.296,91.090,271.147,0.610,-2.363
1.285,-0.926,92.031,274.177,0.624,-2.404
1.290,-0.703,93.191,277.187,0.637,-2.430
1.295,-0.509,94.604,280.209,0.655,-2.452
1.300,-0.245,96.249,283.247,0.677,-2.483
1.305,0.054,98.091,286.112,0.706,-2.534
1.310,0.289,100.077,288.694,0.738,-2.600
1.315,0.405,102.142,290.850,0.777,-2.654
1.320,0.408,104.205,292.442,0.823,-2.677
1.325,0.327,106.207,293.467,0.877,-2.684
1.330,0.161,108.129,294.027,0.934,-2.697
1.335,-0.093,109.978,294.130,0.996,-2.726
1.340,-0.408,111.780,293.739,1.060,-2.764
1.345,-0.715,113.544,292.892,1.126,-2.795
1.350,-0.945,115.227,291.598,1.192,-2.806
1.355,-1.056,116.770,289.855,1.257,-2.803
1.360,-1.009,118.149,287.745,1.322,-2.814
1.365,-0.843,119.372,285.431,1.384,-2.835
1.370,-0.673,120.469,282.846,1.450,-2.848
1.375,-0.604,121.446,279.985,1.517,-2.864
1.380,-0.588,122.312,276.742,1.584,-2.890
1.385,-0.520,123.019,273.262,1.649,-2.912
1.390,-0.331,123.524,269.411,1.718,-2.911
1.395,-0.077,123.828,265.265,1.789,-2.913
1.400,0.062,123.949,261.001,1.860,-2.925
1.405,0.016,123.899,256.439,1.932,-2.929
1.410,-0.030,123.657,251.713,2.003,-2.949
1.415,0.207,123.196,246.877,2.071,-2.970
1.420,0.873,122.497,241.986,2.136,-2.975
1.425,1.878,121.570,236.925,2.206,-2.975
1.430,2.955,120.459,231.893,2.274,-2.993
1.435,3.954,119.240,226.839,2.344,-3.013
1.440,4.979,117.941,221.733,2.411,-3.026
1.445,6.255,116.619,216.737,2.479,-3.059
1.450,7.875,115.238,211.783,2.549,-3.081
1.455,9.691,113.772,206.801,2.625,-3.104
1.460,11.474,112.181,201.738,2.699,-3.143
1.465,13.085,110.452,196.518,2.772,-3.196
1.470,14.581,108.562,191.036,2.852,-3.226
1.475,16.118,106.488,185.186,2.934,-3.251
1.480,17.812,104.182,179.058,3.009,-3.288
1.485,19.615,101.518,172.614,3.075,-3.311
1.490,21.342,98.378,165.908,3.140,-3.348
1.495,22.859,94.633,158.924,3.201,-3.400
1.500,24.174,90.146,151.739,3.251,-3.466
1.505,25.661,84.841,144.550,3.311,-3.594
1.510,27.708,78.343,138.478,3.453,-4.494
1.515,29.752,69.924,134.700,3.739,-6.797
1.520,30.663,59.159,134.445,3.895,-9.733
1.525,29.902,46.651,138.840,4.015,-14.013
1.530,27.186,29.406,147.152,4.225,-19.914
1.535,22.938,7.127,160.588,4.385,-26.180
1.540,18.154,-20.259,179.588,4.443,-32.054
1.545,14.545,-52.406,202.356,4.507,-37.539
1.550,12.325,-86.450,225.664,4.539,-41.878
1.555,11.464,-120.567,247.318,4.529,-45.108
1.560,11.024,-152.634,264.689,4.563,-48.092
1.565,9.964,-181.233,274.909,4.638,-50.676
1.570,7.916,-201.820,278.220,4.708,-52.441
1.575,5.416,-213.099,275.487,4.791,-53.926
1.580,2.995,-215.457,266.682,4.957,-55.497
1.585,-0.474,-210.460,254.147,5.121,-56.866
1.590,-5.585,-202.114,242.071,5.273,-57.967
1.595,-12.726,-193.062,231.792,5.432,-59.116
1.600,-20.618,-185.970,224.159,5.623,-60.355
1.605,-27.327,-182.365,222.264,5.757,-61.693
1.610,-30.978,-182.286,228.654,5.728,-63.070
1.615,-31.238,-185.431,242.727,5.601,-64.300
1.620,-29.562,-191.033,265.387,5.330,-64.782
1.625,-27.895,-197.965,294.497,5.023,-64.650
1.630,-27.152,-205.282,323.894,4.770,-64.588
1.635,-26.758,-211.626,349.071,4.629,-64.884
1.640,-25.731,-215.830,369.906,4.525,-65.327
1.645,-24.136,-218.298,387.057,4.433,-65.754
1.650,-22.607,-220.655,401.521,4.339,-65.934
1.655,-22.068,-223.612,414.722,4.215,-65.718
1.660,-22.742,-226.577,424.641,4.104,-65.398
1.665,-24.003,-228.511,428.125,4.034,-65.309
1.670,-25.014,-228.259,425.557,4.015,-65.585
1.675,-25.133,-226.127,420.484,3.986,-65.909
1.680,-24.278,-223.351,415.108,3.915,-65.961
1.685,-22.610,-220.282,410.180,3.790,-65.653
1.690,-20.572,-215.798,405.007,3.626,-65.096
1.695,-18.509,-208.627,395.783,3.490,-64.706
1.700,-16.373,-198.341,380.022,3.407,-64.748
1.705,-13.915,-185.670,360.553,3.340,-65.012
1.710,-11.152,-172.011,340.456,3.229,-65.110
1.715,-8.134,-157.848,320.441,3.082,-64.779
1.720,-5.115,-142.373,300.116,2.924,-64.181
1.725,-2.762,-124.774,278.006,2.781,-63.646
1.730,-1.681,-105.276,252.238,2.673,-63.440
1.735,-2.438,-85.205,224.362,2.602,-63.710
1.740,-4.492,-66.223,199.423,2.537,-64.201
1.745,-6.795,-49.641,180.495,2.469,-64.367
1.750,-8.902,-32.972,168.508,2.323,-63.855
1.755,-10.974,-16.596,162.791,2.131,-62.795
1.760,-12.863,-0.648,160.709,1.952,-61.861
1.765,-14.085,14.125,158.938,1.853,-61.510
1.770,-14.145,26.120,156.156,1.769,-61.599
1.775,-12.723,34.816,152.781,1.658,-61.715
1.780,-9.998,40.762,148.398,1.528,-61.646
1.785,-6.842,45.284,142.678,1.396,-61.377
1.790,-3.801,47.040,135.747,1.274,-61.185
1.795,-1.144,47.561,127.872,1.112,-61.439
1.800,0.934,46.996,119.631,0.982,-62.044
1.805,2.714,45.036,112.985,0.886,-62.616
1.810,4.097,42.189,109.999,0.826,-62.974
1.815,5.315,38.079,111.281,0.726,-62.972
1.820,5.785,32.711,116.394,0.672,-62.764
1.825,5.348,26.922,125.059,0.684,-62.867
1.830,4.178,20.925,137.489,0.792,-63.280
1.835,2.455,13.121,155.013,0.889,-63.918
1.840,0.065,2.101,177.619,0.948,-64.361
1.845,-3.325,-12.724,206.005,0.983,-63.986
1.850,-6.537,-31.321,237.834,1.025,-63.799
1.855,-8.614,-51.499,268.231,1.067,-64.078
1.860,-9.596,-70.988,294.736,1.038,-64.009
1.865,-9.916,-87.602,314.820,0.982,-64.012
1.870,-9.770,-99.012,326.594,0.953,-64.305
1.875,-9.094,-103.793,328.056,0.942,-64.743
1.880,-7.755,-101.819,322.925,0.881,-64.913
1.885,-4.939,-93.286,312.551,0.775,-65.143
1.890,-1.267,-79.666,296.717,0.684,-65.387
1.895,2.008,-63.298,278.519,0.597,-65.393
1.900,4.238,-46.629,260.766,0.509,-65.726
1.905,5.629,-32.612,244.437,0.399,-66.281
1.910,6.559,-23.786,230.790,0.312,-66.611
1.915,7.313,-19.695,222.882,0.240,-66.529
1.920,7.982,-18.850,218.991,0.195,-66.444
1.925,7.927,-20.178,215.611,0.156,-66.669
1.930,6.724,-22.191,213.718,0.126,-66.806
1.935,4.600,-24.256,213.489,0.131,-66.793
1.940,2.428,-26.228,212.117,0.158,-67.060
1.945,0.651,-27.863,210.201,0.183,-67.356
1.950,-0.452,-29.032,209.611,0.161,-67.419
1.955,-1.094,-30.068,208.778,0.154,-67.335
1.960,-1.452,-31.064,206.137,0.152,-67.444
1.965,-1.878,-31.786,203.390,0.146,-67.644
1.970,-2.438,-32.046,200.506,0.111,-67.781
1.975,-2.885,-32.051,196.436,0.089,-68.008
1.980,-2.857,-31.860,192.803,0.087,-68.276
1.985,-2.411,-31.631,190.841,0.059,-68.290
1.990,-2.056,-31.627,188.939,0.013,-68.239
1.995,-2.048,-31.812,186.849,-0.019,-68.252
2.000,-2.415,-31.847,185.228,-0.007,-68.326
2.005,-2.824,-31.824,183.137,0.005,-68.411
2.010,-3.133,-31.782,180.264,-0.013,-68.530
2.015,-3.360,-31.567,177.936,-0.040,-68.704
2.020,-3.666,-31.258,176.321,-0.033,-68.756
2.025,-4.169,-31.002,174.663,-0.010,-68.671
2.030,-4.769,-30.656,173.286,-0.016,-68.635
2.035,-5.301,-30.184,172.313,-0.038,-68.634
2.040,-5.677,-29.774,170.741,-0.040,-68.700
2.045,-5.954,-29.488,169.010,-0.028,-68.783
2.050,-6.151,-29.294,167.987,-0.038,-68.869
2.055,-6.327,-29.270,167.235,-0.068,-68.927
2.060,-6.551,-29.328,166.642,-0.082,-68.874
2.065,-6.754,-29.351,166.740,-0.078,-68.794
2.070,-6.857,-29.346,166.957,-0.079,-68.808
2.075,-6.824,-29.419,166.870,-0.101,-68.838
2.080,-6.723,-29.585,166.996,-0.118,-68.885
2.085,-6.620,-29.852,167.642,-0.118,-68.925
2.090,-6.570,-30.340,168.369,-0.118,-68.976
2.095,-6.481,-30.962,169.439,-0.128,-68.992
2.100,-6.302,-31.547,171.203,-0.141,-68.918
2.105,-6.013,-32.145,172.838,-0.138,-68.907
2.110,-5.748,-32.798,174.245,-0.138,-68.950
2.115,-5.579,-33.455,175.847,-0.150,-68.988
2.120,-5.488,-34.138,177.521,-0.159,-69.016
2.125,-5.374,-34.828,178.937,-0.152,-69.072
2.130,-5.166,-35.402,180.566,-0.144,-69.083
2.135,-4.919,-35.825,182.388,-0.154,-69.029
2.140,-4.720,-36.098,183.729,-0.171,-69.017
2.145,-4.606,-36.172,184.759,-0.171,-69.044
2.150,-4.486,-36.092,185.716,-0.163,-69.046
2.155,-4.329,-36.015,186.313,-0.167,-69.070
2.160,-4.127,-36.007,186.641,-0.187,-69.125
2.165,-3.958,-35.974,187.177,-0.198,-69.117
2.170,-3.802,-35.868,187.636,-0.196,-69.089
2.175,-3.653,-35.678,187.813,-0.197,-69.089
2.180,-3.500,-35.387,187.978,-0.213,-69.102
