Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
50.557,0.259,0.215,41.153,0.211,0.150,1.229,5.692,195.000,57.760,-3.084,79.123,-1.260,-0.150,139.678,0.716,-235.163,1.206,0.175,2.243,3.439,0.055,-0.090,297.658,1.526,435.385,2.233,0.320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.550,2056.824,5.353,1.874,1620.970,5.924,37.992,-2.715,78.809,-1.363,12.750,15.083,6.345,202.765,2.186,-0.119,-221.821,-60.009,5.000,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,0.167,-2.987,202.453,-0.702,-10.638
0.005,-0.433,-2.058,203.249,-0.447,-10.225
0.010,-1.184,-2.198,200.305,-0.151,-10.120
0.015,-0.978,-2.746,206.304,-0.155,-10.162
0.020,-0.735,-2.768,201.565,-0.215,-10.221
0.025,-0.373,-2.787,203.631,-0.323,-10.179
0.030,0.145,-4.027,202.657,-0.465,-10.587
0.035,0.185,-7.842,203.166,-0.500,-11.531
0.040,0.245,-8.202,203.087,-0.509,-11.614
0.045,0.321,-8.597,203.011,-0.518,-11.708
0.050,0.395,-9.031,202.938,-0.530,-11.818
0.055,0.467,-9.501,202.864,-0.543,-11.932
0.060,0.553,-10.003,202.797,-0.556,-12.048
0.065,0.664,-10.536,202.743,-0.570,-12.164
0.070,0.791,-11.085,202.700,-0.582,-12.279
0.075,0.908,-11.640,202.667,-0.596,-12.389
0.080,0.991,-12.178,202.668,-0.608,-12.495
0.085,1.034,-12.680,202.703,-0.617,-12.598
0.090,1.039,-13.145,202.743,-0.627,-12.682
0.095,1.031,-13.566,202.779,-0.635,-12.759
0.100,1.015,-13.948,202.816,-0.644,-12.826
0.105,1.002,-14.297,202.846,-0.652,-12.884
0.110,1.002,-14.623,202.857,-0.663,-12.937
0.115,1.025,-14.928,202.927,-0.672,-12.979
0.120,1.080,-15.217,202.979,-0.685,-13.017
0.125,1.170,-15.486,203.016,-0.699,-13.047
0.130,1.318,-15.736,203.124,-0.713,-13.080
0.135,1.499,-15.978,203.249,-0.727,-13.109
0.140,1.704,-16.222,203.351,-0.739,-13.132
0.145,1.895,-16.462,203.516,-0.751,-13.165
0.150,2.058,-16.702,203.693,-0.759,-13.192
0.155,2.188,-16.936,203.743,-0.767,-13.222
0.160,2.306,-17.159,203.882,-0.771,-13.258
0.165,2.412,-17.390,203.968,-0.770,-13.289
0.170,2.484,-17.632,203.982,-0.767,-13.316
0.175,2.511,-17.863,203.964,-0.761,-13.345
0.180,2.482,-18.055,203.932,-0.755,-13.370
0.185,2.436,-18.206,203.794,-0.744,-13.371
0.190,2.396,-18.308,203.643,-0.733,-13.364
0.195,2.384,-18.375,203.628,-0.717,-13.355
