Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
49.720,0.255,0.110,39.463,0.202,0.135,1.260,5.598,195.000,66.636,-2.648,91.282,-1.056,-41.063,135.052,0.693,-244.315,1.253,0.265,2.250,3.460,0.065,-0.005,303.784,1.558,430.339,2.207,0.335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.474,2135.359,5.428,2.018,1819.027,5.666,31.585,-2.805,85.186,-1.677,12.750,17.568,7.902,204.177,2.201,0.060,-212.280,-52.291,5.000,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,0.734,-3.138,201.569,-3.446,-8.579
0.005,0.747,-3.708,202.221,-3.478,-8.773
0.010,0.141,-3.538,203.569,-3.368,-8.779
0.015,0.526,-3.505,204.225,-3.382,-8.851
0.020,0.515,-3.939,202.013,-3.424,-9.015
0.025,0.616,-3.694,202.754,-3.409,-8.996
0.030,0.522,-4.195,203.761,-3.414,-9.046
0.035,0.784,-4.212,203.114,-3.474,-9.110
0.040,2.207,-6.409,204.202,-3.888,-9.695
0.045,2.299,-6.601,204.440,-3.925,-9.755
0.050,2.381,-6.799,204.671,-3.960,-9.815
0.055,2.454,-7.001,204.824,-3.997,-9.867
0.060,2.533,-7.190,204.977,-4.031,-9.924
0.065,2.607,-7.379,205.084,-4.065,-9.977
0.070,2.674,-7.567,205.107,-4.098,-10.024
0.075,2.735,-7.750,205.132,-4.133,-10.077
0.080,2.810,-7.926,205.133,-4.166,-10.132
0.085,2.921,-8.106,205.112,-4.200,-10.185
0.090,3.051,-8.285,205.049,-4.233,-10.237
0.095,3.193,-8.466,205.031,-4.265,-10.298
0.100,3.313,-8.659,204.993,-4.296,-10.354
0.105,3.417,-8.869,204.933,-4.327,-10.407
0.110,3.502,-9.088,204.905,-4.356,-10.467
0.115,3.600,-9.317,204.906,-4.382,-10.526
0.120,3.687,-9.564,204.897,-4.406,-10.583
0.125,3.741,-9.814,204.874,-4.427,-10.639
0.130,3.749,-10.062,204.874,-4.446,-10.695
0.135,3.724,-10.306,204.828,-4.462,-10.739
0.140,3.705,-10.545,204.773,-4.476,-10.779
0.145,3.698,-10.766,204.729,-4.487,-10.824
0.150,3.712,-10.968,204.713,-4.492,-10.859
0.155,3.700,-11.151,204.699,-4.494,-10.886
0.160,3.651,-11.306,204.696,-4.491,-10.905
0.165,3.551,-11.432,204.734,-4.484,-10.923
0.170,3.443,-11.532,204.762,-4.471,-10.933
0.175,3.342,-11.619,204.810,-4.457,-10.934
0.180,3.248,-11.687,204.854,-4.438,-10.935
0.185,3.127,-11.752,204.951,-4.413,-10.927
0.190,2.945,-11.811,205.030,-4.383,-10.909
0.195,2.703,-11.855,205.082,-4.351,-10.888
