Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
32.981,0.169,0.090,34.385,0.176,0.130,0.959,3.713,195.000,70.308,-0.789,96.313,4.593,-21.718,99.190,0.509,-235.293,1.207,0.265,1.923,3.425,0.120,0.000,275.698,1.414,432.508,2.218,0.385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.224,2079.303,5.603,1.969,1676.928,NaN,36.246,-2.909,80.649,-0.569,12.750,19.776,7.825,201.535,3.460,-0.109,-163.692,-57.232,2.000,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,2.313,0.128,202.794,-11.560,10.631
0.005,2.344,-0.164,202.825,-11.603,10.661
0.010,2.038,-0.441,202.348,-11.702,10.747
0.015,2.410,-0.302,202.865,-11.944,10.878
0.020,3.200,0.137,203.316,-12.287,11.104
0.025,3.492,0.388,202.383,-12.473,11.214
0.030,3.717,-0.307,202.556,-12.569,11.112
0.035,3.319,-0.008,202.386,-12.518,11.358
0.040,3.505,0.937,203.600,-12.573,11.612
0.045,3.728,1.198,203.995,-12.602,11.657
0.050,3.966,1.506,204.422,-12.636,11.719
0.055,4.177,1.853,204.792,-12.680,11.797
0.060,4.358,2.245,205.171,-12.729,11.876
0.065,4.548,2.666,205.572,-12.779,11.947
0.070,4.762,3.102,205.951,-12.832,12.020
0.075,4.999,3.535,206.174,-12.894,12.120
0.080,5.226,3.984,206.417,-12.950,12.186
0.085,5.428,4.427,206.516,-13.010,12.265
0.090,5.622,4.856,206.433,-13.076,12.358
0.095,5.840,5.285,206.311,-13.140,12.432
0.100,6.125,5.703,206.094,-13.203,12.508
0.105,6.450,6.099,205.779,-13.265,12.581
0.110,6.780,6.478,205.302,-13.333,12.671
0.115,7.072,6.858,204.873,-13.394,12.731
0.120,7.338,7.221,204.419,-13.457,12.805
0.125,7.609,7.570,203.901,-13.526,12.905
0.130,7.901,7.919,203.525,-13.589,12.970
0.135,8.208,8.258,203.203,-13.652,13.047
0.140,8.480,8.585,202.947,-13.716,13.126
0.145,8.708,8.914,202.769,-13.779,13.210
0.150,8.915,9.259,202.724,-13.836,13.273
0.155,9.132,9.612,202.704,-13.894,13.340
0.160,9.376,9.984,202.662,-13.955,13.429
0.165,9.628,10.389,202.764,-14.007,13.485
0.170,9.865,10.811,202.834,-14.061,13.557
0.175,10.057,11.239,202.856,-14.114,13.631
0.180,10.205,11.667,202.888,-14.162,13.690
0.185,10.329,12.080,202.909,-14.210,13.750
0.190,10.451,12.444,202.952,-14.255,13.813
0.195,10.585,12.758,202.983,-14.299,13.888
0.200,10.697,13.020,203.071,-14.335,13.933
0.205,10.759,13.230,203.140,-14.369,13.981
0.210,10.777,13.406,203.193,-14.405,14.037
0.215,10.800,13.566,203.286,-14.437,14.079
0.220,10.870,13.707,203.360,-14.471,14.124
0.225,10.988,13.821,203.420,-14.502,14.167
0.230,11.110,13.909,203.421,-14.537,14.211
0.235,11.202,13.977,203.389,-14.573,14.244
0.240,11.271,14.031,203.293,-14.610,14.281
0.245,11.355,14.080,203.104,-14.649,14.327
0.250,11.488,14.118,202.907,-14.686,14.357
0.255,11.649,14.132,202.682,-14.724,14.392
0.260,11.811,14.118,202.459,-14.757,14.421
0.265,11.936,14.092,202.227,-14.787,14.447
0.270,12.028,14.076,202.028,-14.811,14.457
0.275,12.124,14.080,201.805,-14.836,14.473
0.280,12.266,14.100,201.604,-14.857,14.492
0.285,12.458,14.129,201.404,-14.876,14.500
0.290,12.678,14.167,201.127,-14.897,14.519
0.295,12.903,14.220,200.849,-14.912,14.527
0.300,13.104,14.305,200.512,-14.933,14.545
0.305,13.296,14.421,200.152,-14.954,14.568
0.310,13.492,14.564,199.822,-14.969,14.583
0.315,13.698,14.716,199.528,-14.981,14.603
0.320,13.889,14.877,199.231,-14.994,14.613
0.325,14.059,15.047,199.077,-14.999,14.613
0.330,14.179,15.226,198.965,-15.002,14.620
0.335,14.256,15.422,198.889,-15.005,14.629
0.340,14.324,15.638,198.876,-15.005,14.635
0.345,14.404,15.879,198.936,-15.002,14.630
0.350,14.504,16.128,198.923,-15.004,14.645
0.355,14.608,16.397,198.905,-15.005,14.649
0.360,14.697,16.677,198.916,-15.000,14.644
0.365,14.764,16.945,198.729,-15.005,14.670
0.370,14.827,17.220,198.540,-15.007,14.674
0.375,14.920,17.507,198.322,-15.008,14.685
0.380,15.043,17.795,198.066,-15.009,14.696
0.385,15.189,18.073,197.770,-15.012,14.709
0.390,15.340,18.341,197.529,-15.013,14.711
0.395,15.475,18.588,197.384,-15.009,14.698
0.400,15.587,18.807,197.180,-15.015,14.717
0.405,15.691,19.015,197.131,-15.015,14.706
