Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
54.731,0.281,0.100,36.264,0.186,0.110,1.509,6.162,195.000,64.964,-0.889,88.992,-0.572,-50.560,116.570,0.598,-240.493,1.233,0.295,2.026,3.531,0.110,0.000,278.558,1.429,448.065,2.298,0.405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.297,2105.309,5.614,1.386,1831.372,5.218,29.555,-1.722,86.988,0.397,12.250,19.901,3.470,189.870,4.446,0.056,-119.749,-42.368,30.000,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,2.777,-4.727,202.911,-6.074,-22.080
0.005,2.852,-4.755,202.509,-6.162,-22.266
0.010,3.079,-4.753,202.978,-6.327,-22.259
0.015,3.198,-4.565,203.026,-6.477,-22.229
0.020,2.991,-4.271,202.793,-6.524,-22.306
0.025,2.486,-4.626,203.448,-6.445,-22.457
0.030,2.883,-4.560,200.678,-6.884,-22.669
0.035,3.038,-6.042,205.627,-7.104,-22.952
0.040,3.921,-5.692,206.149,-7.220,-22.945
0.045,4.003,-5.742,206.383,-7.239,-22.955
0.050,4.107,-5.802,206.670,-7.256,-22.971
0.055,4.184,-5.889,207.001,-7.269,-22.999
0.060,4.187,-6.020,207.365,-7.280,-23.035
0.065,4.118,-6.206,207.638,-7.292,-23.069
0.070,4.051,-6.439,207.786,-7.304,-23.102
0.075,4.040,-6.696,207.795,-7.315,-23.140
0.080,4.079,-6.976,207.698,-7.319,-23.185
0.085,4.084,-7.299,207.571,-7.316,-23.239
0.090,4.003,-7.686,207.474,-7.310,-23.298
0.095,3.861,-8.127,207.369,-7.302,-23.364
0.100,3.747,-8.590,207.247,-7.292,-23.431
0.105,3.702,-9.048,207.141,-7.280,-23.496
0.110,3.687,-9.502,206.974,-7.266,-23.567
0.115,3.626,-9.964,206.769,-7.250,-23.643
0.120,3.483,-10.443,206.503,-7.237,-23.711
0.125,3.321,-10.922,206.075,-7.229,-23.770
0.130,3.245,-11.365,205.523,-7.224,-23.829
0.135,3.294,-11.750,204.937,-7.218,-23.881
0.140,3.405,-12.074,204.271,-7.214,-23.931
0.145,3.507,-12.335,203.593,-7.210,-23.982
0.150,3.566,-12.534,202.921,-7.207,-24.030
0.155,3.612,-12.684,202.203,-7.209,-24.066
0.160,3.712,-12.791,201.546,-7.212,-24.100
0.165,3.885,-12.854,201.003,-7.210,-24.141
0.170,4.082,-12.870,200.467,-7.207,-24.181
0.175,4.225,-12.829,199.937,-7.202,-24.219
0.180,4.277,-12.729,199.347,-7.200,-24.250
0.185,4.269,-12.599,198.678,-7.206,-24.275
0.190,4.278,-12.467,198.091,-7.212,-24.293
0.195,4.358,-12.358,197.655,-7.215,-24.311
