Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
49.233,0.252,0.100,35.329,0.181,0.130,1.394,5.543,195.000,66.043,-4.448,90.470,6.970,-41.973,121.683,0.624,-237.982,1.220,0.285,2.133,3.510,0.050,0.000,294.316,1.509,446.500,2.290,0.335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.178,2155.906,5.548,2.038,1802.169,5.603,33.288,-0.318,83.592,-1.379,1.250,12.253,10.150,219.577,2.207,2.587,-234.784,62.190,NaN,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,1.329,-1.956,203.003,0.439,-9.637
0.005,1.054,-1.738,203.617,0.453,-9.558
0.010,1.086,-1.757,203.264,0.462,-9.503
0.015,1.248,-1.667,203.165,0.451,-9.391
0.020,1.141,-1.640,202.619,0.512,-9.329
0.025,0.979,-1.784,204.436,0.587,-9.355
0.030,0.749,-1.821,202.284,0.689,-9.452
0.035,0.157,-2.163,203.997,0.814,-9.646
0.040,-0.217,-7.751,201.938,1.036,-11.125
0.045,-0.124,-8.593,201.781,1.038,-11.325
0.050,-0.072,-9.046,201.696,1.038,-11.431
0.055,-0.023,-9.517,201.687,1.038,-11.545
0.060,0.007,-10.021,201.676,1.040,-11.660
0.065,0.003,-10.560,201.613,1.042,-11.773
0.070,-0.020,-11.135,201.650,1.044,-11.897
0.075,-0.036,-11.746,201.686,1.046,-12.021
0.080,-0.040,-12.392,201.787,1.048,-12.141
0.085,-0.032,-13.056,201.900,1.050,-12.265
0.090,-0.038,-13.707,202.034,1.051,-12.391
0.095,-0.055,-14.341,202.150,1.051,-12.506
0.100,-0.073,-14.935,202.215,1.051,-12.611
0.105,-0.068,-15.492,202.362,1.050,-12.711
0.110,-0.033,-16.025,202.492,1.050,-12.806
0.115,0.014,-16.539,202.636,1.048,-12.897
0.120,0.065,-17.026,202.759,1.047,-12.985
0.125,0.107,-17.481,202.839,1.046,-13.062
0.130,0.156,-17.904,202.854,1.045,-13.122
0.135,0.216,-18.291,202.851,1.046,-13.178
0.140,0.279,-18.645,202.903,1.047,-13.235
0.145,0.327,-18.955,202.936,1.049,-13.286
0.150,0.334,-19.207,202.990,1.052,-13.331
0.155,0.309,-19.381,203.022,1.055,-13.370
0.160,0.261,-19.482,203.040,1.058,-13.396
0.165,0.225,-19.541,203.039,1.063,-13.411
0.170,0.202,-19.578,203.058,1.067,-13.421
0.175,0.196,-19.609,203.087,1.070,-13.424
0.180,0.216,-19.640,203.083,1.072,-13.409
0.185,0.277,-19.667,203.090,1.075,-13.378
0.190,0.397,-19.687,203.067,1.079,-13.329
0.195,0.554,-19.698,203.055,1.084,-13.260
0.200,0.720,-19.691,203.046,1.092,-13.175
0.205,0.860,-19.637,203.075,1.100,-13.078
0.210,0.991,-19.519,203.135,1.112,-12.967
0.215,1.146,-19.331,203.185,1.129,-12.832
0.220,1.307,-19.085,203.271,1.154,-12.674
0.225,1.392,-18.788,203.377,1.190,-12.508
0.230,1.308,-18.433,203.568,1.231,-12.331
0.235,1.085,-17.997,203.820,1.277,-12.138
0.240,0.843,-17.448,204.093,1.328,-11.930
0.245,0.705,-16.790,204.376,1.387,-11.694
0.250,0.666,-16.054,204.672,1.452,-11.433
0.255,0.643,-15.271,205.055,1.520,-11.153
0.260,0.586,-14.446,205.550,1.583,-10.861
0.265,0.550,-13.545,206.099,1.643,-10.551
0.270,0.656,-12.543,206.737,1.703,-10.211
0.275,0.925,-11.439,207.488,1.760,-9.852
0.280,1.267,-10.300,208.550,1.814,-9.481
0.285,1.527,-9.182,210.188,1.865,-9.123
0.290,1.613,-8.084,212.524,1.913,-8.794
0.295,1.538,-6.973,215.631,1.951,-8.517
0.300,1.429,-5.812,219.306,1.980,-8.294
0.305,1.426,-4.651,223.363,2.002,-8.095
0.310,1.569,-3.614,227.487,2.022,-7.915
0.315,1.796,-2.803,231.516,2.039,-7.738
0.320,2.023,-2.196,235.263,2.045,-7.578
0.325,2.266,-1.720,238.452,2.034,-7.429
0.330,2.637,-1.318,240.911,2.007,-7.268
0.335,3.250,-0.933,242.343,1.968,-7.081
0.340,4.087,-0.531,242.727,1.913,-6.845
0.345,5.009,-0.063,242.121,1.837,-6.554
0.350,5.867,0.560,240.772,1.733,-6.222
0.355,6.635,1.365,239.051,1.602,-5.872
0.360,7.368,2.293,237.149,1.434,-5.509
0.365,8.114,3.283,235.305,1.249,-5.134
0.370,8.832,4.342,233.569,1.042,-4.749
0.375,9.421,5.498,232.015,0.819,-4.336
0.380,9.814,6.762,230.795,0.588,-3.907
0.385,9.984,8.137,230.096,0.358,-3.499
0.390,9.937,9.589,230.070,0.135,-3.136
0.395,9.660,11.091,230.589,-0.074,-2.842
0.400,9.120,12.621,231.523,-0.260,-2.608
0.405,8.327,14.127,232.518,-0.419,-2.400
0.410,7.434,15.469,233.435,-0.543,-2.195
0.415,6.662,16.535,234.373,-0.632,-2.007
0.420,6.116,17.281,235.336,-0.690,-1.892
0.425,5.734,17.727,236.280,-0.728,-1.859
0.430,5.396,17.966,236.960,-0.743,-1.861
0.435,5.053,18.101,237.090,-0.738,-1.864
0.440,4.812,18.222,236.446,-0.715,-1.843
0.445,4.802,18.351,235.123,-0.686,-1.797
0.450,4.998,18.493,233.250,-0.656,-1.757
0.455,5.170,18.640,230.952,-0.624,-1.743
0.460,5.093,18.781,228.382,-0.587,-1.734
0.465,4.754,18.934,225.637,-0.547,-1.703
0.470,4.349,19.107,222.808,-0.508,-1.673
0.475,4.108,19.294,220.052,-0.473,-1.640
0.480,4.079,19.461,217.584,-0.439,-1.598
0.485,4.130,19.566,215.455,-0.406,-1.575
0.490,4.075,19.621,213.740,-0.376,-1.580
0.495,3.870,19.639,212.339,-0.352,-1.597
0.500,3.623,19.657,211.053,-0.330,-1.607
0.505,3.479,19.697,209.719,-0.305,-1.612
0.510,3.475,19.732,208.251,-0.281,-1.610
0.515,3.507,19.723,206.700,-0.259,-1.584
0.520,3.452,19.647,205.102,-0.236,-1.555
0.525,3.260,19.540,203.550,-0.210,-1.541
0.530,2.999,19.464,202.074,-0.182,-1.539
0.535,2.772,19.467,200.654,-0.157,-1.540
0.540,2.634,19.569,199.328,-0.135,-1.531
0.545,2.558,19.737,198.105,-0.113,-1.509
0.550,2.476,19.915,197.032,-0.090,-1.484
0.555,2.339,20.059,196.132,-0.071,-1.471
0.560,2.151,20.161,195.345,-0.055,-1.482
0.565,1.951,20.241,194.616,-0.039,-1.500
0.570,1.772,20.332,193.781,-0.021,-1.505
0.575,1.614,20.453,192.810,-0.003,-1.497
0.580,1.442,20.581,191.717,0.015,-1.480
0.585,0.933,20.709,189.420,0.051,-1.453
0.590,0.631,20.703,188.363,0.070,-1.459
0.595,0.367,20.693,187.359,0.088,-1.471
0.600,0.159,20.734,186.328,0.107,-1.483
0.605,-0.041,20.830,185.228,0.126,-1.486
0.610,-0.292,20.950,184.028,0.148,-1.483
0.615,-0.614,21.064,182.651,0.171,-1.477
0.620,-0.979,21.148,181.211,0.196,-1.482
0.625,-1.346,21.215,179.579,0.224,-1.481
0.630,-1.692,21.292,177.813,0.253,-1.472
0.635,-2.024,21.402,175.946,0.282,-1.460
0.640,-2.357,21.556,173.959,0.308,-1.435
0.645,-2.681,21.745,171.909,0.331,-1.423
0.650,-2.968,21.955,169.729,0.350,-1.422
0.655,-3.194,22.158,167.490,0.366,-1.425
0.660,-3.352,22.330,165.069,0.377,-1.420
0.665,-3.475,22.460,162.442,0.385,-1.406
0.670,-3.600,22.537,159.606,0.390,-1.398
0.675,-3.746,22.564,156.481,0.393,-1.386
0.680,-3.888,22.544,153.164,0.396,-1.373
0.685,-3.992,22.484,149.737,0.400,-1.349
0.690,-4.063,22.384,146.431,0.409,-1.301
0.695,-4.171,22.242,143.318,0.426,-1.250
0.700,-4.390,22.088,140.490,0.447,-1.235
0.705,-4.713,21.972,137.973,0.470,-1.259
0.710,-5.037,21.930,135.704,0.497,-1.278
0.715,-5.248,21.970,133.703,0.533,-1.259
0.720,-5.346,22.061,131.930,0.579,-1.212
0.725,-5.449,22.166,130.382,0.628,-1.175
0.730,-5.640,22.275,128.954,0.675,-1.178
0.735,-5.868,22.410,127.630,0.723,-1.208
0.740,-5.974,22.581,126.316,0.775,-1.208
0.745,-5.873,22.781,124.923,0.832,-1.161
0.750,-5.673,22.995,123.498,0.890,-1.098
0.755,-5.606,23.228,122.036,0.947,-1.050
0.760,-5.803,23.485,120.587,1.003,-1.025
0.765,-6.159,23.775,119.181,1.055,-1.008
0.770,-6.457,24.095,117.853,1.101,-0.985
0.775,-6.560,24.424,116.542,1.140,-0.951
0.780,-6.545,24.751,115.238,1.172,-0.912
0.785,-6.578,25.060,113.970,1.193,-0.878
0.790,-6.700,25.337,112.758,1.198,-0.843
0.795,-6.749,25.556,111.736,1.186,-0.804
0.800,-6.516,25.712,110.969,1.164,-0.762
0.805,-5.973,25.825,110.471,1.135,-0.738
0.810,-5.289,25.909,110.155,1.095,-0.751
0.815,-4.656,25.981,110.009,1.043,-0.777
0.820,-4.085,26.020,110.088,0.985,-0.773
0.825,-3.438,26.002,110.444,0.931,-0.725
0.830,-2.638,25.939,111.093,0.888,-0.685
0.835,-1.799,25.878,111.935,0.851,-0.715
0.840,-1.126,25.891,112.860,0.821,-0.800
0.845,-0.687,26.007,113.741,0.800,-0.859
0.850,-0.395,26.217,114.493,0.795,-0.843
0.855,-0.118,26.479,115.098,0.807,-0.793
0.860,0.168,26.765,115.497,0.825,-0.764
0.865,0.387,27.090,115.730,0.846,-0.778
0.870,0.473,27.467,115.951,0.867,-0.793
0.875,0.441,27.908,116.233,0.890,-0.755
0.880,0.366,28.414,116.619,0.904,-0.700
0.885,0.332,29.010,117.181,0.907,-0.686
0.890,0.407,29.697,118.025,0.895,-0.720
0.895,0.605,30.447,119.165,0.869,-0.738
0.900,0.901,31.203,120.700,0.830,-0.740
0.905,1.219,31.915,122.633,0.777,-0.771
0.910,1.530,32.558,124.707,0.713,-0.831
0.915,1.897,33.151,126.843,0.635,-0.922
0.920,2.433,33.723,129.083,0.550,-0.994
0.925,3.146,34.274,131.365,0.460,-0.995
0.930,3.880,34.829,133.785,0.366,-0.972
0.935,4.458,35.451,136.537,0.268,-0.991
0.940,4.826,36.225,139.690,0.165,-1.064
0.945,5.145,37.214,143.226,0.053,-1.139
0.950,5.643,38.449,147.306,-0.061,-1.202
0.955,6.412,39.883,151.977,-0.172,-1.246
0.960,7.321,41.431,157.066,-0.278,-1.276
0.965,8.154,43.046,162.629,-0.378,-1.350
0.970,8.790,44.734,168.611,-0.468,-1.455
0.975,9.222,46.525,174.826,-0.542,-1.538
0.980,9.506,48.466,181.145,-0.598,-1.590
0.985,9.656,50.578,187.435,-0.638,-1.634
0.990,9.632,52.827,193.547,-0.666,-1.694
0.995,9.409,55.154,199.297,-0.683,-1.761
1.000,9.035,57.484,204.653,-0.689,-1.824
1.005,8.611,59.728,209.534,-0.687,-1.872
1.010,8.230,61.792,213.781,-0.682,-1.898
1.015,7.959,63.618,217.302,-0.678,-1.926
1.020,7.810,65.208,220.182,-0.670,-1.966
1.025,7.723,66.614,222.528,-0.658,-1.983
1.030,7.578,67.914,224.482,-0.644,-1.960
1.035,7.283,69.166,226.407,-0.632,-1.935
1.040,6.846,70.393,228.552,-0.622,-1.938
1.045,6.380,71.605,231.142,-0.617,-1.963
1.050,6.013,72.827,234.363,-0.614,-2.007
1.055,5.789,74.088,238.214,-0.615,-2.055
1.060,5.669,75.386,242.591,-0.622,-2.091
1.065,5.566,76.714,247.445,-0.636,-2.132
1.070,5.460,78.082,252.608,-0.654,-2.188
1.075,5.428,79.498,257.852,-0.675,-2.257
1.080,5.579,80.977,263.016,-0.697,-2.329
1.085,5.939,82.498,267.868,-0.718,-2.386
1.090,6.401,84.025,272.333,-0.735,-2.420
1.095,6.793,85.553,276.351,-0.749,-2.444
1.100,7.031,87.101,279.828,-0.762,-2.478
1.105,7.219,88.671,282.856,-0.771,-2.528
1.110,7.538,90.209,285.492,-0.775,-2.573
1.115,8.028,91.687,287.705,-0.772,-2.600
1.120,8.511,93.152,289.630,-0.762,-2.621
1.125,8.737,94.725,291.204,-0.744,-2.643
1.130,8.635,96.522,292.286,-0.722,-2.676
1.135,8.381,98.584,293.039,-0.693,-2.717
1.140,8.206,100.840,293.631,-0.658,-2.736
1.145,8.179,103.184,294.003,-0.618,-2.734
1.150,8.190,105.552,294.201,-0.572,-2.752
1.155,8.105,107.939,294.316,-0.523,-2.794
1.160,7.919,110.281,294.127,-0.470,-2.835
1.165,7.751,112.514,293.571,-0.416,-2.865
1.170,7.739,114.554,292.756,-0.360,-2.884
1.175,7.893,116.342,291.556,-0.299,-2.892
1.180,8.059,117.857,290.014,-0.231,-2.904
1.185,8.060,119.129,288.134,-0.157,-2.935
1.190,7.853,120.162,285.926,-0.080,-2.972
1.195,7.534,120.934,283.301,0.000,-3.000
1.200,7.224,121.446,280.338,0.088,-3.007
1.205,6.970,121.683,277.129,0.184,-3.008
1.210,6.762,121.639,273.583,0.284,-3.022
1.215,6.576,121.315,269.845,0.385,-3.053
1.220,6.450,120.719,265.868,0.491,-3.096
1.225,6.460,119.827,261.558,0.600,-3.128
1.230,6.610,118.662,256.923,0.714,-3.150
1.235,6.789,117.279,252.020,0.831,-3.159
1.240,6.873,115.765,246.964,0.952,-3.166
1.245,6.872,114.215,241.868,1.075,-3.174
1.250,6.889,112.744,236.966,1.197,-3.192
1.255,7.031,111.357,232.308,1.321,-3.219
1.260,7.331,110.076,227.802,1.446,-3.248
1.265,7.653,108.919,223.575,1.574,-3.272
1.270,7.918,107.931,219.387,1.704,-3.291
1.275,8.283,107.040,215.101,1.832,-3.320
1.280,8.978,106.152,210.510,1.960,-3.370
1.285,9.976,105.124,205.767,2.099,-3.399
1.290,11.031,103.835,200.538,2.247,-3.390
1.295,11.942,102.248,194.764,2.401,-3.401
1.300,12.660,100.345,188.603,2.549,-3.432
1.305,13.455,98.133,182.055,2.698,-3.444
1.310,14.571,95.674,174.981,2.842,-3.443
1.315,15.930,93.090,167.567,2.983,-3.465
1.320,17.173,90.297,160.091,3.115,-3.456
1.325,18.112,87.046,152.337,3.235,-3.444
1.330,18.809,83.002,144.782,3.337,-3.502
1.335,19.465,77.975,137.501,3.410,-3.576
1.340,20.498,72.261,130.764,3.555,-3.891
1.345,21.349,65.594,127.010,4.039,-6.435
1.350,20.738,56.115,128.050,4.723,-11.289
1.355,16.958,44.035,135.426,5.020,-16.279
1.360,10.185,26.319,147.597,5.014,-20.937
1.365,2.406,3.786,161.323,5.329,-27.060
1.370,-4.225,-22.150,175.386,5.921,-32.745
1.375,-8.331,-50.949,189.295,6.477,-37.347
1.380,-10.358,-80.920,205.627,6.747,-42.025
1.385,-10.733,-110.968,223.493,6.847,-46.082
1.390,-10.171,-139.931,242.119,6.852,-48.732
1.395,-8.533,-166.697,257.977,6.947,-51.181
1.400,-6.447,-186.869,268.381,7.096,-53.751
1.405,-4.793,-199.997,272.104,7.156,-55.605
1.410,-4.091,-206.597,270.178,7.251,-57.284
1.415,-5.803,-207.016,266.447,7.405,-59.118
1.420,-10.150,-204.049,261.524,7.566,-60.521
1.425,-16.346,-199.343,256.419,7.613,-61.215
1.430,-22.367,-193.009,251.917,7.594,-61.971
1.435,-26.624,-186.735,248.921,7.704,-63.337
1.440,-28.077,-182.064,249.386,7.871,-65.054
1.445,-27.446,-180.421,257.811,7.873,-66.140
1.450,-26.274,-182.941,276.703,7.608,-66.464
1.455,-25.637,-189.876,303.265,7.282,-66.344
1.460,-26.077,-199.583,333.319,7.025,-65.957
1.465,-27.649,-210.073,363.160,6.820,-65.688
1.470,-29.934,-219.555,388.454,6.694,-65.801
1.475,-32.532,-227.044,407.650,6.642,-66.136
1.480,-35.489,-232.463,423.309,6.613,-66.295
1.485,-38.699,-236.122,437.082,6.524,-66.073
1.490,-41.973,-237.982,446.500,6.407,-65.749
1.495,-44.516,-237.231,449.894,6.302,-65.507
1.500,-45.724,-233.227,446.967,6.249,-65.443
1.505,-45.282,-226.246,437.063,6.242,-65.626
1.510,-43.357,-217.463,422.496,6.208,-65.799
1.515,-40.247,-207.851,407.147,6.095,-65.750
1.520,-36.597,-197.751,391.807,5.937,-65.502
1.525,-32.952,-186.878,375.124,5.798,-65.217
1.530,-29.678,-174.808,356.884,5.661,-65.052
1.535,-26.587,-161.820,337.449,5.510,-64.922
1.540,-23.650,-148.698,316.164,5.368,-64.794
1.545,-21.073,-135.481,294.020,5.236,-64.657
1.550,-19.218,-121.464,272.441,5.093,-64.540
1.555,-18.203,-106.283,251.685,4.934,-64.466
1.560,-17.780,-89.697,232.516,4.782,-64.356
1.565,-17.628,-72.245,216.724,4.617,-64.202
1.570,-17.460,-54.683,205.022,4.446,-64.014
1.575,-17.240,-36.681,196.694,4.232,-63.679
1.580,-16.690,-20.090,191.353,4.023,-63.155
1.585,-15.679,-6.030,188.594,3.811,-62.730
1.590,-14.109,4.540,186.663,3.652,-62.580
1.595,-12.059,11.412,184.602,3.531,-62.457
1.600,-9.619,15.411,182.326,3.425,-62.348
1.605,-6.966,17.933,179.147,3.302,-62.270
1.610,-4.310,20.182,174.087,3.176,-62.129
1.615,-1.935,21.534,167.534,3.093,-62.119
1.620,-0.207,22.888,160.864,3.042,-62.456
1.625,0.857,23.980,154.724,3.060,-62.884
1.630,1.206,24.452,150.709,3.058,-63.061
1.635,0.820,24.093,150.390,3.045,-63.086
1.640,-0.083,22.464,153.461,3.043,-62.975
1.645,-1.939,19.876,158.405,3.123,-62.838
1.650,-5.182,16.621,164.865,3.221,-62.886
1.655,-9.492,13.014,173.044,3.325,-63.073
1.660,-14.035,9.449,182.288,3.434,-63.330
1.665,-18.321,6.218,192.839,3.523,-63.455
1.670,-22.022,3.586,205.212,3.575,-63.299
1.675,-25.000,1.797,217.780,3.589,-63.097
1.680,-27.428,1.074,228.764,3.598,-63.040
1.685,-28.869,0.596,237.684,3.601,-63.106
1.690,-28.662,-0.234,244.601,3.599,-63.228
1.695,-26.666,-1.396,249.276,3.591,-63.474
1.700,-23.426,-2.695,252.764,3.560,-63.737
1.705,-19.745,-3.781,256.464,3.511,-63.857
1.710,-16.421,-4.633,260.134,3.450,-63.879
1.715,-13.941,-5.476,263.109,3.396,-63.897
1.720,-12.509,-6.651,265.054,3.359,-63.980
1.725,-12.013,-7.921,265.726,3.345,-64.176
1.730,-12.376,-9.236,264.702,3.358,-64.466
1.735,-13.406,-10.744,262.719,3.367,-64.745
1.740,-15.126,-12.505,260.791,3.357,-64.904
1.745,-17.413,-14.425,258.200,3.354,-64.973
1.750,-20.085,-15.897,254.005,3.364,-65.064
1.755,-22.602,-16.327,248.214,3.378,-65.235
1.760,-24.549,-15.618,240.788,3.374,-65.467
1.765,-25.769,-14.021,231.962,3.372,-65.753
1.770,-26.419,-11.903,223.110,3.372,-66.067
1.775,-26.902,-9.559,215.291,3.359,-66.261
1.780,-27.351,-7.323,208.176,3.342,-66.358
1.785,-27.801,-5.445,201.852,3.306,-66.493
1.790,-28.029,-4.070,196.609,3.288,-66.659
1.795,-28.112,-3.414,192.050,3.282,-66.889
1.800,-28.155,-3.533,188.308,3.296,-67.201
1.805,-28.457,-4.299,186.140,3.299,-67.485
1.810,-29.091,-5.581,185.606,3.296,-67.682
1.815,-29.913,-7.392,186.242,3.311,-67.802
1.820,-30.631,-9.567,187.888,3.316,-67.850
1.825,-31.164,-11.789,189.955,3.321,-67.899
1.830,-31.659,-13.918,191.545,3.326,-68.085
1.835,-32.287,-16.005,192.819,3.363,-68.406
1.840,-33.028,-18.259,194.533,3.399,-68.684
1.845,-33.668,-20.890,196.832,3.418,-68.843
1.850,-34.107,-23.779,199.622,3.418,-68.898
1.855,-34.398,-26.608,202.741,3.409,-68.923
1.860,-34.652,-29.202,205.580,3.415,-69.003
1.865,-34.806,-31.515,207.570,3.422,-69.154
1.870,-34.804,-33.541,208.923,3.428,-69.352
1.875,-34.620,-35.299,209.885,3.426,-69.518
1.880,-34.347,-36.877,210.447,3.431,-69.637
1.885,-33.980,-38.306,210.678,3.432,-69.743
1.890,-33.525,-39.514,210.600,3.417,-69.813
1.895,-32.940,-40.431,209.801,3.400,-69.884
1.900,-32.332,-41.025,208.059,3.401,-70.025
1.905,-31.808,-41.398,205.714,3.414,-70.206
1.910,-31.427,-41.747,202.918,3.416,-70.382
1.915,-31.077,-42.165,199.781,3.399,-70.468
1.920,-30.582,-42.464,196.253,3.373,-70.487
1.925,-29.927,-42.404,192.002,3.348,-70.474
1.930,-29.251,-41.875,186.515,3.321,-70.489
1.935,-28.780,-40.875,179.688,3.287,-70.586
1.940,-28.527,-39.510,171.783,3.250,-70.718
1.945,-28.321,-37.949,162.943,3.220,-70.833
1.950,-27.933,-36.299,153.442,3.182,-70.870
1.955,-27.348,-34.515,143.376,3.114,-70.831
1.960,-26.688,-32.517,132.581,3.019,-70.775
1.965,-26.026,-30.290,120.888,2.930,-70.759
1.970,-25.216,-27.952,108.436,2.859,-70.798
1.975,-24.045,-25.733,95.533,2.782,-70.884
1.980,-22.355,-23.753,82.469,2.675,-70.991
1.985,-20.201,-22.013,69.695,2.537,-71.091
1.990,-17.686,-20.453,57.554,2.399,-71.171
1.995,-14.891,-19.092,46.259,2.254,-71.183
2.000,-11.905,-17.965,35.893,2.073,-71.282
2.005,-8.917,-16.950,26.689,1.811,-71.550
2.010,-6.211,-15.766,18.818,1.469,-72.358
2.015,-3.938,-14.246,12.375,1.040,-73.906
2.020,-2.213,-12.449,7.484,0.339,-75.225
2.025,-1.275,-10.633,4.188,-1.469,-74.945
2.030,-1.040,-9.024,2.162,-5.567,-72.174
2.035,-1.126,-7.765,0.958,-14.468,-49.969
2.040,-1.258,-6.814,0.259,-62.877,98.702
2.045,-1.388,-6.112,-0.108,84.172,-101.997
2.050,-1.528,-5.728,-0.357,32.674,-87.868
2.055,-1.762,-5.708,-0.518,21.346,-78.686
2.060,-2.065,-5.953,-0.418,22.780,-76.601
2.065,-2.136,-6.231,-0.235,33.778,-80.643
2.070,-1.898,-6.393,-0.132,51.720,-95.603
2.075,-1.550,-6.395,-0.074,97.575,-107.792
2.080,-1.377,-6.311,-0.056,145.995,-107.073
2.085,-1.478,-6.221,-0.165,54.137,-92.970
2.090,-1.798,-6.142,-0.328,28.456,-81.581
