Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
50.370,0.258,0.175,43.407,0.223,0.120,1.160,5.671,195.000,68.835,-3.107,94.294,3.708,-54.715,127.668,0.655,-242.719,1.245,0.255,2.140,3.312,0.055,-0.025,289.630,1.485,403.104,2.067,0.335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.556,2019.228,5.412,1.836,1757.013,5.910,29.525,-3.712,87.014,0.125,1.250,12.358,10.142,219.239,3.326,-0.769,-189.729,-71.381,12.000,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,1.611,-1.937,203.881,1.018,-10.736
0.005,2.673,-2.153,202.881,0.685,-10.986
0.010,2.274,-2.979,203.234,0.662,-11.340
0.015,2.281,-3.017,203.152,0.614,-11.470
0.020,2.316,-1.993,203.036,0.602,-11.145
0.025,2.176,-1.591,203.014,0.656,-10.867
0.030,1.695,-2.483,203.108,0.775,-11.145
0.035,3.401,-14.290,202.331,0.516,-13.952
0.040,3.699,-15.413,202.051,0.453,-14.181
0.045,3.862,-15.657,202.079,0.435,-14.229
0.050,4.023,-15.920,202.187,0.419,-14.276
0.055,4.144,-16.215,202.381,0.402,-14.322
0.060,4.228,-16.539,202.643,0.387,-14.368
0.065,4.301,-16.863,202.935,0.372,-14.410
0.070,4.374,-17.166,203.201,0.359,-14.443
0.075,4.421,-17.443,203.438,0.347,-14.468
0.080,4.399,-17.701,203.640,0.336,-14.489
0.085,4.295,-17.949,203.858,0.327,-14.508
0.090,4.120,-18.186,204.085,0.318,-14.526
0.095,3.903,-18.396,204.311,0.312,-14.541
0.100,3.672,-18.559,204.501,0.304,-14.550
0.105,3.459,-18.678,204.638,0.295,-14.549
0.110,3.287,-18.770,204.743,0.286,-14.535
0.115,3.168,-18.854,204.849,0.276,-14.508
0.120,3.110,-18.928,205.016,0.265,-14.469
0.125,3.116,-18.965,205.224,0.254,-14.422
0.130,3.214,-18.929,205.450,0.240,-14.364
0.135,3.430,-18.807,205.662,0.226,-14.288
0.140,3.769,-18.615,205.839,0.211,-14.191
0.145,4.199,-18.387,206.004,0.199,-14.084
0.150,4.671,-18.139,206.198,0.190,-13.969
0.155,5.154,-17.865,206.412,0.183,-13.849
0.160,5.637,-17.543,206.587,0.178,-13.725
0.165,6.137,-17.158,206.691,0.177,-13.595
0.170,6.657,-16.729,206.706,0.183,-13.457
0.175,7.162,-16.285,206.631,0.196,-13.313
0.180,7.588,-15.856,206.500,0.217,-13.165
0.185,7.870,-15.448,206.352,0.247,-13.006
0.190,7.996,-15.050,206.177,0.286,-12.834
0.195,8.005,-14.644,206.002,0.338,-12.650
0.200,7.939,-14.208,205.874,0.405,-12.452
0.205,7.766,-13.739,205.753,0.487,-12.238
0.210,7.403,-13.226,205.621,0.580,-12.012
0.215,6.841,-12.633,205.387,0.684,-11.777
