Analytics

Accel Impulse(lb*s),Accel Impulse Score(sec),Clawback(sec),Decel Impulse(lb*s),Decel Impulse Score(sec),Decel Width(sec),Impulse Ratio(ratio),Player Velo(mph),Player Weight(lb),Stride(in),Stride Angle(deg),Stride Ratio(%),X-Y Back(lb),X-Y Front(lb),Y Back(lb),Y Back Score(lb/lb),Y Front(lb),Y Front Score(lb/lb),Y Transfer(sec),YZ Back Score(lb/lb),YZ Front Score(lb/lb),YZ Transfer Back(sec),YZ Transfer Front(sec),Z Back(lb),Z Back Score(lb/lb),Z Front(lb),Z Front Score(lb/lb),Z Transfer(sec),Hip-Shoulder Separation(deg),Elbow Extension(deg),Shoulder Abduction(deg),Trunk Ant-Post Tilt(deg),Trunk Lateral Tilt(deg),Knee Extension - Foot Strike(deg),Knee Extension - Ball Release(deg),Chest Velocity(MPH),Trunk Velocity(MPH),Pelvis Velocity(MPH),Pitching Hand Velocity(MPH),Pitching Elbow Velocity(MPH),Lead Foot Velocity(MPH),Lead Knee Velocity(MPH),Elbow Extension Velocity(deg/s),Knee Extension Velocity(deg/s),Trunk Angular Velocity(deg/s),Pelvis Angular Velocity(deg/s),Pitch Speed(mph),Total Spin(rpm),Release Height(ft),Release Side(ft),Active Spin(rpm),Extension(ft),Gyro(deg),Horz Rel Angle(deg),Spin Efficiency(%),Vert Rel Angle(deg),Tilt(clock),I. Vert. Mov(in),Horz. Mov(in),Spin Axis(deg),Plate Height(ft),Plate Side(ft),Vert Appr Angle(deg),Horz Appr Angle(deg),Zone(zone),Radar Ball Speed(mph)
48.468,0.249,0.210,41.537,0.213,0.150,1.167,5.457,195.000,55.553,-4.302,76.100,6.441,-9.495,135.887,0.697,-235.639,1.208,0.155,2.168,3.493,0.065,-0.085,286.930,1.471,445.575,2.285,0.305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.307,2032.157,5.579,1.813,1864.486,NaN,23.438,-0.968,91.749,-0.518,1.250,12.873,10.306,218.606,2.673,1.742,-226.473,35.625,50.000,NaN
Data

Time,Fx(lb),Fy(lb),Fz(lb),X(in),Y(in)
0.000,-0.949,-6.364,201.330,-1.820,-11.171
0.005,-0.999,-6.281,203.543,-1.734,-11.174
0.010,-0.815,-5.835,202.945,-1.703,-11.029
0.015,-0.696,-5.584,202.362,-1.637,-10.955
0.020,-0.827,-5.447,202.872,-1.535,-10.917
0.025,-0.835,-5.520,202.705,-1.497,-10.946
0.030,-0.896,-6.091,202.973,-1.454,-11.069
0.035,-0.802,-7.687,202.508,-1.417,-11.486
0.040,-0.799,-7.723,202.542,-1.415,-11.493
0.045,-0.800,-7.753,202.598,-1.412,-11.497
0.050,-0.810,-7.780,202.652,-1.410,-11.498
0.055,-0.829,-7.798,202.719,-1.407,-11.502
0.060,-0.854,-7.809,202.784,-1.404,-11.507
0.065,-0.867,-7.820,202.820,-1.402,-11.510
0.070,-0.869,-7.841,202.859,-1.400,-11.511
0.075,-0.851,-7.868,202.890,-1.398,-11.520
0.080,-0.830,-7.913,202.946,-1.396,-11.533
0.085,-0.809,-7.975,202.982,-1.393,-11.551
0.090,-0.794,-8.058,203.029,-1.392,-11.573
0.095,-0.776,-8.171,203.108,-1.389,-11.601
0.100,-0.752,-8.322,203.159,-1.387,-11.635
0.105,-0.736,-8.511,203.255,-1.383,-11.676
0.110,-0.725,-8.733,203.365,-1.378,-11.730
0.115,-0.743,-8.987,203.417,-1.374,-11.782
0.120,-0.770,-9.260,203.443,-1.369,-11.838
0.125,-0.816,-9.543,203.438,-1.364,-11.900
0.130,-0.858,-9.828,203.342,-1.357,-11.958
0.135,-0.899,-10.112,203.198,-1.353,-12.021
0.140,-0.933,-10.386,203.042,-1.348,-12.080
0.145,-0.958,-10.655,202.816,-1.345,-12.135
0.150,-0.977,-10.907,202.581,-1.343,-12.187
0.155,-0.971,-11.135,202.367,-1.342,-12.236
0.160,-0.948,-11.338,202.162,-1.343,-12.279
0.165,-0.895,-11.521,202.008,-1.344,-12.312
0.170,-0.832,-11.679,201.924,-1.346,-12.347
0.175,-0.765,-11.829,201.910,-1.349,-12.377
0.180,-0.707,-11.970,201.907,-1.353,-12.408
0.185,-0.654,-12.093,201.931,-1.358,-12.440
0.190,-0.590,-12.205,201.906,-1.363,-12.468
